date,tmean_hi,elev_hi_m,tmean_lo,elev_lo_m,delta_t_c,lapse_rate_c_per_100m
1936-06-01,8.5,1491.0,19.2,118.0,-10.7,-0.7793153678077203
1936-06-02,10.5,1491.0,23.4,118.0,-12.899999999999999,-0.939548434085943
1936-06-03,12.8,1491.0,20.5,118.0,-7.699999999999999,-0.56081573197378
1936-06-04,11.1,1491.0,17.4,118.0,-6.299999999999999,-0.45884923525127447
1936-06-05,8.3,1491.0,15.2,118.0,-6.899999999999999,-0.5025491624180625
1936-06-06,8.2,1491.0,14.4,118.0,-6.200000000000001,-0.45156591405680996
1936-06-07,10.7,1491.0,21.1,118.0,-10.400000000000002,-0.7574654042243264
1936-06-08,6.1,1491.0,15.3,118.0,-9.200000000000001,-0.6700655498907503
1936-06-09,3.7,1491.0,15.9,118.0,-12.2,-0.8885651857246903
1936-06-10,4.4,1491.0,15.6,118.0,-11.2,-0.8157319737800436
1936-06-11,7.6,1491.0,21.1,118.0,-13.500000000000002,-0.9832483612527313
1936-06-12,11.3,1491.0,21.3,118.0,-10.0,-0.7283321194464676
1936-06-13,9.1,1491.0,17.5,118.0,-8.4,-0.6117989803350328
1936-06-14,8.9,1491.0,17.9,118.0,-8.999999999999998,-0.6554989075018207
1936-06-15,7.8,1491.0,15.5,118.0,-7.7,-0.56081573197378
1936-06-16,9.9,1491.0,17.7,118.0,-7.799999999999999,-0.5680990531682446
1936-06-17,9.9,1491.0,18.9,118.0,-8.999999999999998,-0.6554989075018207
1936-06-18,9.6,1491.0,17.8,118.0,-8.200000000000001,-0.5972323379461035
1936-06-19,10.3,1491.0,20.3,118.0,-10.0,-0.7283321194464676
1936-06-20,14.3,1491.0,23.4,118.0,-9.099999999999998,-0.6627822286962853
1936-06-21,17.6,1491.0,24.2,118.0,-6.599999999999998,-0.48069919883466844
1936-06-22,16.9,1491.0,22.7,118.0,-5.800000000000001,-0.42243262927895125
1936-06-23,15.2,1491.0,21.2,118.0,-6.0,-0.43699927166788055
