date,tmean_hi,elev_hi_m,tmean_lo,elev_lo_m,delta_t_c,lapse_rate_c_per_100m
1955-01-01,3.4,731.0,8.1,118.0,-4.699999999999999,-0.7667210440456769
1955-01-02,3.0,731.0,6.0,118.0,-3.0,-0.4893964110929853
1955-01-03,3.5,731.0,7.4,118.0,-3.9000000000000004,-0.636215334420881
1955-01-04,1.6,731.0,6.1,118.0,-4.5,-0.734094616639478
1955-01-05,2.0,731.0,6.5,118.0,-4.5,-0.734094616639478
1955-01-06,2.0,731.0,4.6,118.0,-2.5999999999999996,-0.42414355628058725
1955-01-07,1.1,731.0,4.9,118.0,-3.8000000000000003,-0.6199021207177815
1955-01-08,1.1,731.0,5.6,118.0,-4.5,-0.734094616639478
1955-01-09,0.0,731.0,9.6,118.0,-9.6,-1.5660685154975529
1955-01-10,2.1,731.0,12.2,118.0,-10.1,-1.6476345840130506
1955-01-11,3.4,731.0,10.1,118.0,-6.699999999999999,-1.0929853181076672
1955-01-12,5.4,731.0,12.9,118.0,-7.5,-1.2234910277324633
1955-01-13,6.3,731.0,11.4,118.0,-5.1000000000000005,-0.8319738988580752
1955-01-14,5.0,731.0,12.0,118.0,-7.0,-1.1419249592169658
1955-01-15,6.1,731.0,13.2,118.0,-7.1,-1.1582381729200653
1955-01-16,4.6,731.0,8.7,118.0,-4.1,-0.6688417618270799
1955-01-17,0.7,731.0,7.2,118.0,-6.5,-1.0603588907014683
1955-01-18,2.3,731.0,9.0,118.0,-6.7,-1.0929853181076672
1955-01-19,2.8,731.0,10.9,118.0,-8.100000000000001,-1.3213703099510605
1955-01-20,3.1,731.0,9.6,118.0,-6.5,-1.0603588907014683
1955-01-21,2.2,731.0,8.3,118.0,-6.1000000000000005,-0.9951060358890702
1955-01-22,1.8,731.0,6.8,118.0,-5.0,-0.8156606851549756
1955-01-23,2.5,731.0,8.6,118.0,-6.1,-0.9951060358890701
1955-01-24,5.0,731.0,8.4,118.0,-3.4000000000000004,-0.5546492659053834
1955-01-25,1.9,731.0,4.4,118.0,-2.5000000000000004,-0.40783034257748785
1955-01-26,0.1,731.0,3.6,118.0,-3.5,-0.5709624796084829
1955-01-27,0.5,731.0,4.7,118.0,-4.2,-0.6851549755301795
1955-01-28,-0.4,731.0,4.6,118.0,-5.0,-0.8156606851549756
1955-01-29,0.5,731.0,5.3,118.0,-4.8,-0.7830342577487764
1955-01-30,0.1,731.0,6.0,118.0,-5.9,-0.9624796084828712
1955-01-31,-0.3,731.0,6.0,118.0,-6.3,-1.0277324632952691
1955-02-01,1.0,731.0,4.9,118.0,-3.9000000000000004,-0.636215334420881
1955-02-02,1.3,731.0,6.5,118.0,-5.2,-0.8482871125611746
1955-02-03,1.7,731.0,8.6,118.0,-6.8999999999999995,-1.1256117455138661
1955-02-04,5.4,731.0,11.0,118.0,-5.6,-0.9135399673735726
1955-02-05,5.7,731.0,12.0,118.0,-6.3,-1.0277324632952691
