date,tmean_hi,elev_hi_m,tmean_lo,elev_lo_m,delta_t_c,lapse_rate_c_per_100m
1959-01-01,-6.6,1441.0,2.9,118.0,-9.5,-0.7180650037792895
1959-01-02,-9.2,1441.0,3.3,118.0,-12.5,-0.9448223733938019
1959-01-03,-6.0,1441.0,7.6,118.0,-13.6,-1.0279667422524565
1959-01-04,-3.9,1441.0,6.0,118.0,-9.9,-0.7482993197278912
1959-01-05,-3.6,1441.0,10.7,118.0,-14.299999999999999,-1.0808767951625093
1959-01-06,-0.4,1441.0,13.8,118.0,-14.200000000000001,-1.0733182161753592
1959-01-07,1.2,1441.0,14.4,118.0,-13.200000000000001,-0.997732426303855
1959-01-08,0.7,1441.0,7.8,118.0,-7.1,-0.5366591080876795
1959-01-09,-1.7,1441.0,8.3,118.0,-10.0,-0.7558578987150415
1959-01-10,-5.1,1441.0,9.6,118.0,-14.7,-1.111111111111111
1959-01-11,-4.3,1441.0,7.2,118.0,-11.5,-0.8692365835222978
1959-01-12,-1.6,1441.0,8.5,118.0,-10.1,-0.7634164777021919
1959-01-13,-5.8,1441.0,7.6,118.0,-13.399999999999999,-1.0128495842781555
1959-01-14,-2.8,1441.0,10.0,118.0,-12.8,-0.9674981103552532
1959-01-15,-0.4,1441.0,7.4,118.0,-7.800000000000001,-0.5895691609977325
1959-01-16,-2.5,1441.0,7.2,118.0,-9.7,-0.7331821617535903
1959-01-17,-5.2,1441.0,11.4,118.0,-16.6,-1.254724111866969
1959-01-18,-1.4,1441.0,9.6,118.0,-11.0,-0.8314436885865457
1959-01-19,-1.4,1441.0,4.8,118.0,-6.199999999999999,-0.4686318972033257
1959-01-20,-3.5,1441.0,4.4,118.0,-7.9,-0.5971277399848829
1959-01-21,-10.0,1441.0,2.8,118.0,-12.8,-0.9674981103552532
1959-01-22,-10.5,1441.0,3.5,118.0,-14.0,-1.0582010582010581
1959-01-23,-8.6,1441.0,2.0,118.0,-10.6,-0.801209372637944
1959-01-24,-6.2,1441.0,4.0,118.0,-10.2,-0.7709750566893423
1959-01-25,-2.7,1441.0,5.1,118.0,-7.8,-0.5895691609977324
1959-01-26,-1.9,1441.0,9.0,118.0,-10.9,-0.8238851095993953
1959-01-27,-2.2,1441.0,8.3,118.0,-10.5,-0.7936507936507936
1959-01-28,-0.7,1441.0,9.0,118.0,-9.7,-0.7331821617535903
1959-01-29,2.2,1441.0,9.4,118.0,-7.2,-0.54421768707483
1959-01-30,0.8,1441.0,9.2,118.0,-8.399999999999999,-0.6349206349206348
1959-01-31,-0.7,1441.0,6.9,118.0,-7.6000000000000005,-0.5744520030234316
1959-02-01,-3.8,1441.0,4.1,118.0,-7.8999999999999995,-0.5971277399848828
1959-02-02,-5.1,1441.0,3.3,118.0,-8.399999999999999,-0.6349206349206348
1959-02-03,-6.7,1441.0,3.4,118.0,-10.1,-0.7634164777021919
1959-02-04,-7.9,1441.0,1.3,118.0,-9.200000000000001,-0.6953892668178383
1959-02-05,-8.9,1441.0,-0.3,118.0,-8.6,-0.6500377928949357
1959-02-06,-8.3,1441.0,0.8,118.0,-9.100000000000001,-0.6878306878306879
1959-02-07,-14.1,1441.0,-1.4,118.0,-12.7,-0.9599395313681027
1959-02-08,-13.6,1441.0,-1.2,118.0,-12.4,-0.9372637944066515
1959-02-09,-10.8,1441.0,-0.6,118.0,-10.200000000000001,-0.7709750566893424
1959-02-10,-10.8,1441.0,-0.1,118.0,-10.700000000000001,-0.8087679516250945
1959-02-11,-9.4,1441.0,-0.3,118.0,-9.1,-0.6878306878306878
1959-02-12,-9.6,1441.0,-1.7,118.0,-7.8999999999999995,-0.5971277399848828
1959-02-13,-16.0,1441.0,-1.8,118.0,-14.2,-1.073318216175359
1959-02-14,-13.8,1441.0,-6.6,118.0,-7.200000000000001,-0.54421768707483
1959-02-15,-12.2,1441.0,-1.4,118.0,-10.799999999999999,-0.8163265306122448
1959-02-16,-9.5,1441.0,0.0,118.0,-9.5,-0.7180650037792895
1959-02-17,-8.6,1441.0,-0.4,118.0,-8.2,-0.619803476946334
1959-02-18,-8.7,1441.0,0.2,118.0,-8.899999999999999,-0.6727135298563869
1959-02-19,-9.8,1441.0,-1.0,118.0,-8.8,-0.6651549508692366
1959-02-20,-10.5,1441.0,-3.6,118.0,-6.9,-0.5215419501133787
1959-02-21,-11.2,1441.0,-2.4,118.0,-8.799999999999999,-0.6651549508692365
1959-02-22,-9.1,1441.0,2.4,118.0,-11.5,-0.8692365835222978
1959-02-23,-4.7,1441.0,1.9,118.0,-6.6,-0.4988662131519274
1959-02-24,-6.9,1441.0,0.0,118.0,-6.9,-0.5215419501133787
1959-02-25,-8.7,1441.0,-0.9,118.0,-7.799999999999999,-0.5895691609977324
1959-02-26,-8.9,1441.0,-1.0,118.0,-7.9,-0.5971277399848829
1959-02-27,-10.5,1441.0,1.1,118.0,-11.6,-0.8767951625094482
1959-02-28,-6.7,1441.0,0.5,118.0,-7.2,-0.54421768707483
1959-03-01,-7.1,1441.0,2.3,118.0,-9.399999999999999,-0.710506424792139
1959-03-02,-5.3,1441.0,2.8,118.0,-8.1,-0.6122448979591836
1959-03-03,-6.2,1441.0,2.6,118.0,-8.8,-0.6651549508692366
1959-03-04,-6.3,1441.0,2.7,118.0,-9.0,-0.6802721088435374
1959-03-05,-5.5,1441.0,3.2,118.0,-8.7,-0.6575963718820861
1959-03-06,-6.6,1441.0,3.1,118.0,-9.7,-0.7331821617535903
1959-03-07,-4.4,1441.0,2.0,118.0,-6.4,-0.4837490551776266
1959-03-08,-5.8,1441.0,3.7,118.0,-9.5,-0.7180650037792895
1959-03-09,-5.2,1441.0,3.5,118.0,-8.7,-0.6575963718820861
1959-03-10,-0.4,1441.0,5.7,118.0,-6.1000000000000005,-0.46107331821617537
1959-03-11,-2.8,1441.0,6.1,118.0,-8.899999999999999,-0.6727135298563869
1959-03-12,-5.1,1441.0,6.7,118.0,-11.8,-0.8919123204837491
1959-03-13,1.2,1441.0,8.3,118.0,-7.1000000000000005,-0.5366591080876796
1959-03-14,3.0,1441.0,10.0,118.0,-7.0,-0.5291005291005291
1959-03-15,1.8,1441.0,12.4,118.0,-10.6,-0.801209372637944
1959-03-16,2.7,1441.0,12.4,118.0,-9.7,-0.7331821617535903
1959-03-17,1.2,1441.0,7.2,118.0,-6.0,-0.4535147392290249
1959-03-18,-0.6,1441.0,5.2,118.0,-5.8,-0.4383975812547241
1959-03-19,-1.6,1441.0,5.4,118.0,-7.0,-0.5291005291005291
1959-03-20,0.5,1441.0,5.8,118.0,-5.3,-0.400604686318972
1959-03-21,-0.4,1441.0,3.9,118.0,-4.3,-0.32501889644746784
1959-03-22,0.8,1441.0,6.5,118.0,-5.7,-0.4308390022675737
1959-03-23,-0.4,1441.0,5.7,118.0,-6.1000000000000005,-0.46107331821617537
1959-03-24,-0.7,1441.0,6.3,118.0,-7.0,-0.5291005291005291
1959-03-25,-0.5,1441.0,5.4,118.0,-5.9,-0.44595616024187457
1959-03-26,0.5,1441.0,5.6,118.0,-5.1,-0.38548752834467115
1959-03-27,-1.8,1441.0,4.8,118.0,-6.6,-0.4988662131519274
1959-03-28,-1.6,1441.0,5.8,118.0,-7.4,-0.5593348450491308
1959-03-29,-1.6,1441.0,7.2,118.0,-8.8,-0.6651549508692366
1959-03-30,0.5,1441.0,10.9,118.0,-10.4,-0.7860922146636432
1959-03-31,1.8,1441.0,7.7,118.0,-5.9,-0.44595616024187457
1959-04-01,1.6,1441.0,6.0,118.0,-4.4,-0.3325774754346183
1959-04-02,0.4,1441.0,7.2,118.0,-6.8,-0.5139833711262283
1959-04-03,1.8,1441.0,9.0,118.0,-7.2,-0.54421768707483
1959-04-04,0.0,1441.0,6.9,118.0,-6.9,-0.5215419501133787
1959-04-05,-1.2,1441.0,4.4,118.0,-5.6000000000000005,-0.4232804232804233
1959-04-06,-3.0,1441.0,7.1,118.0,-10.1,-0.7634164777021919
1959-04-07,-2.2,1441.0,9.6,118.0,-11.8,-0.8919123204837491
1959-04-08,3.2,1441.0,14.6,118.0,-11.399999999999999,-0.8616780045351472
1959-04-09,4.0,1441.0,17.6,118.0,-13.600000000000001,-1.0279667422524565
1959-04-10,5.6,1441.0,20.6,118.0,-15.000000000000002,-1.1337868480725624
1959-04-11,6.6,1441.0,21.8,118.0,-15.200000000000001,-1.1489040060468632
1959-04-12,7.8,1441.0,23.4,118.0,-15.599999999999998,-1.1791383219954648
1959-04-13,8.6,1441.0,14.0,118.0,-5.4,-0.40816326530612246
1959-04-14,9.4,1441.0,11.0,118.0,-1.5999999999999996,-0.12093726379440663
1959-04-15,8.0,1441.0,9.7,118.0,-1.6999999999999993,-0.128495842781557
1959-04-16,4.6,1441.0,13.1,118.0,-8.5,-0.6424792139077853
1959-04-17,7.0,1441.0,15.6,118.0,-8.6,-0.6500377928949357
1959-04-18,7.6,1441.0,17.2,118.0,-9.6,-0.7256235827664399
1959-04-19,7.8,1441.0,20.2,118.0,-12.399999999999999,-0.9372637944066514
1959-04-20,10.9,1441.0,18.9,118.0,-7.999999999999998,-0.6046863189720331
1959-04-21,11.2,1441.0,13.5,118.0,-2.3000000000000007,-0.1738473167044596
1959-04-22,9.3,1441.0,12.2,118.0,-2.8999999999999986,-0.21919879062736194
1959-04-23,6.4,1441.0,11.7,118.0,-5.299999999999999,-0.40060468631897195
1959-04-24,7.5,1441.0,10.8,118.0,-3.3000000000000007,-0.24943310657596376
1959-04-25,5.0,1441.0,10.2,118.0,-5.199999999999999,-0.39304610733182155
1959-04-26,2.7,1441.0,10.4,118.0,-7.7,-0.582010582010582
1959-04-27,5.4,1441.0,12.4,118.0,-7.0,-0.5291005291005291
1959-04-28,5.8,1441.0,12.6,118.0,-6.8,-0.5139833711262283
