date,tmean_hi,elev_hi_m,tmean_lo,elev_lo_m,delta_t_c,lapse_rate_c_per_100m
1957-01-01,-1.6,500.0,1.7,118.0,-3.3,-0.8638743455497382
1957-01-02,-2.3,500.0,0.3,118.0,-2.5999999999999996,-0.6806282722513088
1957-01-03,-3.1,500.0,-1.4,118.0,-1.7000000000000002,-0.4450261780104713
1957-01-04,-4.7,500.0,0.6,118.0,-5.3,-1.387434554973822
1957-01-05,-5.3,500.0,-0.5,118.0,-4.8,-1.256544502617801
1957-01-06,-2.3,500.0,0.8,118.0,-3.0999999999999996,-0.8115183246073298
1957-01-07,-3.6,500.0,-1.1,118.0,-2.5,-0.6544502617801048
1957-01-08,-3.1,500.0,2.6,118.0,-5.7,-1.492146596858639
1957-01-09,-1.8,500.0,1.8,118.0,-3.6,-0.9424083769633509
1957-01-10,-2.1,500.0,1.2,118.0,-3.3,-0.8638743455497382
1957-01-11,-3.4,500.0,-0.1,118.0,-3.3,-0.8638743455497382
1957-01-12,-2.9,500.0,3.2,118.0,-6.1,-1.5968586387434556
1957-01-13,-0.1,500.0,1.8,118.0,-1.9000000000000001,-0.49738219895287966
1957-01-14,0.3,500.0,5.5,118.0,-5.2,-1.361256544502618
1957-01-15,1.4,500.0,6.8,118.0,-5.4,-1.4136125654450262
1957-01-16,0.6,500.0,6.9,118.0,-6.300000000000001,-1.6492146596858641
1957-01-17,0.6,500.0,4.2,118.0,-3.6,-0.9424083769633509
1957-01-18,0.1,500.0,0.9,118.0,-0.8,-0.20942408376963353
1957-01-19,-2.7,500.0,0.0,118.0,-2.7,-0.7068062827225131
1957-01-20,-5.4,500.0,0.1,118.0,-5.5,-1.4397905759162304
1957-01-21,-2.6,500.0,0.1,118.0,-2.7,-0.7068062827225131
1957-01-22,-6.3,500.0,0.2,118.0,-6.5,-1.7015706806282722
1957-01-23,-3.6,500.0,2.2,118.0,-5.800000000000001,-1.518324607329843
1957-01-24,-3.9,500.0,2.9,118.0,-6.8,-1.780104712041885
1957-01-25,-1.6,500.0,4.8,118.0,-6.4,-1.6753926701570683
1957-01-26,2.5,500.0,8.6,118.0,-6.1,-1.5968586387434556
1957-01-27,2.0,500.0,7.3,118.0,-5.3,-1.387434554973822
1957-01-28,1.6,500.0,5.3,118.0,-3.6999999999999997,-0.9685863874345549
1957-01-29,-1.3,500.0,2.3,118.0,-3.5999999999999996,-0.9424083769633508
1957-01-30,-1.5,500.0,1.4,118.0,-2.9,-0.7591623036649214
1957-01-31,0.0,500.0,3.4,118.0,-3.4,-0.8900523560209425
1957-02-01,1.5,500.0,3.6,118.0,-2.1,-0.549738219895288
1957-02-02,1.2,500.0,4.6,118.0,-3.3999999999999995,-0.8900523560209423
1957-02-03,1.2,500.0,3.6,118.0,-2.4000000000000004,-0.6282722513089006
1957-02-04,0.3,500.0,1.2,118.0,-0.8999999999999999,-0.2356020942408377
1957-02-05,-0.4,500.0,1.1,118.0,-1.5,-0.39267015706806285
1957-02-06,-0.4,500.0,1.4,118.0,-1.7999999999999998,-0.4712041884816754
1957-02-07,-0.4,500.0,3.9,118.0,-4.3,-1.12565445026178
1957-02-08,0.0,500.0,2.4,118.0,-2.4,-0.6282722513089005
1957-02-09,-0.1,500.0,3.2,118.0,-3.3000000000000003,-0.8638743455497383
1957-02-10,2.0,500.0,5.8,118.0,-3.8,-0.9947643979057592
1957-02-11,2.1,500.0,3.8,118.0,-1.6999999999999997,-0.4450261780104712
1957-02-12,4.4,500.0,6.8,118.0,-2.3999999999999995,-0.6282722513089004
1957-02-13,2.2,500.0,10.4,118.0,-8.2,-2.1465968586387434
1957-02-14,4.7,500.0,8.1,118.0,-3.3999999999999995,-0.8900523560209423
1957-02-15,4.4,500.0,10.4,118.0,-6.0,-1.5706806282722514
1957-02-16,5.6,500.0,9.1,118.0,-3.5,-0.9162303664921466
1957-02-17,5.8,500.0,11.4,118.0,-5.6000000000000005,-1.4659685863874348
1957-02-18,5.6,500.0,9.3,118.0,-3.700000000000001,-0.9685863874345553
1957-02-19,7.0,500.0,12.3,118.0,-5.300000000000001,-1.3874345549738223
1957-02-20,8.0,500.0,12.7,118.0,-4.699999999999999,-1.2303664921465967
1957-02-21,8.4,500.0,8.9,118.0,-0.5,-0.13089005235602094
1957-02-22,7.0,500.0,11.2,118.0,-4.199999999999999,-1.0994764397905759
1957-02-23,7.6,500.0,11.4,118.0,-3.8000000000000007,-0.9947643979057594
