station_id,station_name,elevation_m,latitude,longitude,date,tmean_c,tmax_c,tmin_c,dtr_c,n_obs_day,precip_mm
khaishi,Khaishi,700,42.57,42.11,1/1/1955,3.6,5.8,1.9,3.9,1,0
khaishi,Khaishi,700,42.57,42.11,1/2/1955,2.8,6.2,0.5,5.7,1,0
khaishi,Khaishi,700,42.57,42.11,1/3/1955,3.5,7.2,2,5.2,1,0
khaishi,Khaishi,700,42.57,42.11,1/4/1955,2.8,5.8,-0.1,5.9,1,0
khaishi,Khaishi,700,42.57,42.11,1/5/1955,4.2,7.2,1.2,6,1,0
khaishi,Khaishi,700,42.57,42.11,1/6/1955,3.2,5.9,0.1,5.8,1,0
khaishi,Khaishi,700,42.57,42.11,1/7/1955,1.2,3.2,0.5,2.7,1,5.7
khaishi,Khaishi,700,42.57,42.11,1/8/1955,1.5,3.2,0.5,2.7,1,1.6
khaishi,Khaishi,700,42.57,42.11,1/9/1955,2.4,5.2,1,4.2,1,0
khaishi,Khaishi,700,42.57,42.11,1/10/1955,4.3,8.4,1,7.4,1,0
khaishi,Khaishi,700,42.57,42.11,1/11/1955,5.1,8.7,1.6,7.1,1,0
khaishi,Khaishi,700,42.57,42.11,1/12/1955,6,10.3,3.3,7,1,0
khaishi,Khaishi,700,42.57,42.11,1/13/1955,5.8,7.7,4,3.7,1,1.5
khaishi,Khaishi,700,42.57,42.11,1/14/1955,5.4,7.4,3.8,3.6,1,3.6
khaishi,Khaishi,700,42.57,42.11,1/15/1955,7.2,11.6,4.5,7.1,1,0.8
khaishi,Khaishi,700,42.57,42.11,1/16/1955,5.2,9.3,3,6.3,1,17.6
khaishi,Khaishi,700,42.57,42.11,1/17/1955,0.7,3.5,-1.8,5.3,1,0
khaishi,Khaishi,700,42.57,42.11,1/18/1955,3.6,7.6,1.4,6.2,1,0
khaishi,Khaishi,700,42.57,42.11,1/19/1955,4.2,7.2,1.5,5.7,1,0
khaishi,Khaishi,700,42.57,42.11,1/20/1955,3.6,7.2,1.6,5.6,1,0
khaishi,Khaishi,700,42.57,42.11,1/21/1955,3.2,5.8,1.5,4.3,1,0
khaishi,Khaishi,700,42.57,42.11,1/22/1955,2.8,8.4,-0.6,9,1,0
khaishi,Khaishi,700,42.57,42.11,1/23/1955,3.4,7.7,0.5,7.2,1,0
khaishi,Khaishi,700,42.57,42.11,1/24/1955,5.5,8.7,3.2,5.5,1,2
khaishi,Khaishi,700,42.57,42.11,1/25/1955,1.8,5,0.6,4.4,1,8.1
khaishi,Khaishi,700,42.57,42.11,1/26/1955,1.2,3.1,-0.5,3.6,1,0
khaishi,Khaishi,700,42.57,42.11,1/27/1955,1.2,4.7,-0.5,5.2,1,0
khaishi,Khaishi,700,42.57,42.11,1/28/1955,0.2,3.4,-2.9,6.3,1,0
khaishi,Khaishi,700,42.57,42.11,1/29/1955,0.4,4.7,-0.9,5.6,1,0
khaishi,Khaishi,700,42.57,42.11,1/30/1955,0,3.8,-1.9,5.7,1,0
khaishi,Khaishi,700,42.57,42.11,1/31/1955,0,7.1,-2.2,9.3,1,0
khaishi,Khaishi,700,42.57,42.11,2/1/1955,0.8,6.5,-1.5,8,1,0
khaishi,Khaishi,700,42.57,42.11,2/2/1955,1.2,5.2,-1.3,6.5,1,0
khaishi,Khaishi,700,42.57,42.11,2/3/1955,2.9,7.4,-1.1,8.5,1,0
khaishi,Khaishi,700,42.57,42.11,2/4/1955,5.4,10.8,1.8,9,1,0
khaishi,Khaishi,700,42.57,42.11,2/5/1955,6.4,11.3,3,8.3,1,0
khaishi,Khaishi,700,42.57,42.11,2/6/1955,5.2,12,2,10,1,0
khaishi,Khaishi,700,42.57,42.11,2/7/1955,5,7.7,2.2,5.5,1,0.4
khaishi,Khaishi,700,42.57,42.11,2/8/1955,6.9,11.8,4.5,7.3,1,0
khaishi,Khaishi,700,42.57,42.11,2/9/1955,6,11.5,2,9.5,1,0
khaishi,Khaishi,700,42.57,42.11,2/10/1955,6,12,2,10,1,0
khaishi,Khaishi,700,42.57,42.11,2/11/1955,4,7.1,0.5,6.6,1,14.6
khaishi,Khaishi,700,42.57,42.11,2/12/1955,1.9,3.6,0.4,3.2,1,8.2
khaishi,Khaishi,700,42.57,42.11,2/13/1955,2.1,5.2,0.2,5,1,7.4
khaishi,Khaishi,700,42.57,42.11,2/14/1955,1.7,4.7,0.1,4.6,1,16.2
khaishi,Khaishi,700,42.57,42.11,2/15/1955,3.5,5.2,2.1,3.1,1,24.4
khaishi,Khaishi,700,42.57,42.11,2/16/1955,3.2,5.5,1.6,3.9,1,26.2
khaishi,Khaishi,700,42.57,42.11,2/17/1955,2,7.7,-0.6,8.3,1,0.2
khaishi,Khaishi,700,42.57,42.11,2/18/1955,4.5,6.2,2.5,3.7,1,0
khaishi,Khaishi,700,42.57,42.11,2/19/1955,6.6,9.3,4.2,5.1,1,1.6
khaishi,Khaishi,700,42.57,42.11,2/20/1955,6,7.7,4.6,3.1,1,13
khaishi,Khaishi,700,42.57,42.11,2/21/1955,6.3,11,3.4,7.6,1,9.3
khaishi,Khaishi,700,42.57,42.11,2/22/1955,6.3,12.3,3.4,8.9,1,7.2
khaishi,Khaishi,700,42.57,42.11,2/23/1955,1.8,4.2,0.3,3.9,1,2.4
khaishi,Khaishi,700,42.57,42.11,2/24/1955,1,7.6,-1.5,9.1,1,1.2
khaishi,Khaishi,700,42.57,42.11,2/25/1955,1.4,3.1,-0.2,3.3,1,4.2
khaishi,Khaishi,700,42.57,42.11,2/26/1955,3,6.3,0.4,5.9,1,17.7
khaishi,Khaishi,700,42.57,42.11,2/27/1955,6.8,12.5,3.6,8.9,1,1.1
khaishi,Khaishi,700,42.57,42.11,2/28/1955,5.8,8.7,4.6,4.1,1,2.1
khaishi,Khaishi,700,42.57,42.11,3/1/1955,5.7,12.9,0.9,12,1,0
khaishi,Khaishi,700,42.57,42.11,3/2/1955,8.6,12.3,4.9,7.4,1,0
khaishi,Khaishi,700,42.57,42.11,3/3/1955,3.9,9.2,1.5,7.7,1,23
khaishi,Khaishi,700,42.57,42.11,3/4/1955,0.4,2.7,-0.6,3.3,1,0.7
khaishi,Khaishi,700,42.57,42.11,3/5/1955,0.2,3.8,-4,7.8,1,0
khaishi,Khaishi,700,42.57,42.11,3/6/1955,4.7,10.3,0.9,9.4,1,0.3
khaishi,Khaishi,700,42.57,42.11,3/7/1955,4.3,6.4,3.4,3,1,4.4
khaishi,Khaishi,700,42.57,42.11,3/8/1955,5.2,12.5,1.8,10.7,1,0
khaishi,Khaishi,700,42.57,42.11,3/9/1955,5.4,14.8,0.4,14.4,1,0
khaishi,Khaishi,700,42.57,42.11,3/10/1955,6,16.8,0.6,16.2,1,0
khaishi,Khaishi,700,42.57,42.11,3/11/1955,6.6,15.5,0.2,15.3,1,0
khaishi,Khaishi,700,42.57,42.11,3/12/1955,5.2,10.7,0.9,9.8,1,0
khaishi,Khaishi,700,42.57,42.11,3/13/1955,5.9,10.3,4.2,6.1,1,0
khaishi,Khaishi,700,42.57,42.11,3/14/1955,5.6,13,2.6,10.4,1,0.3
khaishi,Khaishi,700,42.57,42.11,3/15/1955,5.4,11.7,1.2,10.5,1,0.1
khaishi,Khaishi,700,42.57,42.11,3/16/1955,3.7,7.6,1.5,6.1,1,3.9
khaishi,Khaishi,700,42.57,42.11,3/17/1955,6.1,10.8,2.5,8.3,1,0.2
khaishi,Khaishi,700,42.57,42.11,3/18/1955,7,15.3,1.5,13.8,1,0
khaishi,Khaishi,700,42.57,42.11,3/19/1955,6.2,13.3,2.5,10.8,1,12.9
khaishi,Khaishi,700,42.57,42.11,3/20/1955,8,15.9,2.5,13.4,1,0
khaishi,Khaishi,700,42.57,42.11,3/21/1955,9,18.3,2.6,15.7,1,0
khaishi,Khaishi,700,42.57,42.11,3/22/1955,9.9,20.5,3.2,17.3,1,0
khaishi,Khaishi,700,42.57,42.11,3/23/1955,9.7,19.5,3,16.5,1,0
khaishi,Khaishi,700,42.57,42.11,3/24/1955,9.4,17.7,2.7,15,1,0
khaishi,Khaishi,700,42.57,42.11,3/25/1955,7.1,12.1,6.2,5.9,1,0.6
khaishi,Khaishi,700,42.57,42.11,3/26/1955,8.8,16.8,3.6,13.2,1,0
khaishi,Khaishi,700,42.57,42.11,3/27/1955,8.9,17.7,2.5,15.2,1,0
khaishi,Khaishi,700,42.57,42.11,3/28/1955,9.8,19.6,2.7,16.9,1,0
khaishi,Khaishi,700,42.57,42.11,3/29/1955,9.2,13.6,5.2,8.4,1,8.6
khaishi,Khaishi,700,42.57,42.11,3/30/1955,9.2,13,6.4,6.6,1,15.1
khaishi,Khaishi,700,42.57,42.11,3/31/1955,7.7,10.6,5.5,5.1,1,33
khaishi,Khaishi,700,42.57,42.11,4/1/1955,12.2,24.1,6.4,17.7,1,0.4
khaishi,Khaishi,700,42.57,42.11,4/2/1955,14.5,23.9,8.2,15.7,1,0
khaishi,Khaishi,700,42.57,42.11,4/3/1955,12.1,17.9,9,8.9,1,0
khaishi,Khaishi,700,42.57,42.11,4/4/1955,11.7,13.5,10.2,3.3,1,5.5
khaishi,Khaishi,700,42.57,42.11,4/5/1955,9.5,12.9,8.2,4.7,1,24.8
khaishi,Khaishi,700,42.57,42.11,4/6/1955,11,17.5,7.6,9.9,1,0
khaishi,Khaishi,700,42.57,42.11,4/7/1955,8.6,12.3,7.6,4.7,1,7.9
khaishi,Khaishi,700,42.57,42.11,4/8/1955,9,16,5.2,10.8,1,0.8
khaishi,Khaishi,700,42.57,42.11,4/9/1955,5.9,9.2,5,4.2,1,3.5
khaishi,Khaishi,700,42.57,42.11,4/10/1955,5.8,10.1,4.2,5.9,1,0
khaishi,Khaishi,700,42.57,42.11,4/11/1955,7.4,13.6,2.2,11.4,1,0
khaishi,Khaishi,700,42.57,42.11,4/12/1955,8.9,19.8,2,17.8,1,0
khaishi,Khaishi,700,42.57,42.11,4/13/1955,10.9,18.9,5.6,13.3,1,0.6
khaishi,Khaishi,700,42.57,42.11,4/14/1955,9.7,15.5,6.2,9.3,1,1.8
khaishi,Khaishi,700,42.57,42.11,4/15/1955,13.4,22.5,8.2,14.3,1,3.9
khaishi,Khaishi,700,42.57,42.11,4/16/1955,14.2,23.3,8.2,15.1,1,0
khaishi,Khaishi,700,42.57,42.11,4/17/1955,15.6,23.8,11.4,12.4,1,0
khaishi,Khaishi,700,42.57,42.11,4/18/1955,14.7,22.8,9,13.8,1,3.5
khaishi,Khaishi,700,42.57,42.11,4/19/1955,11.8,18.5,9.4,9.1,1,3.8
khaishi,Khaishi,700,42.57,42.11,4/20/1955,10.4,16.1,7.2,8.9,1,1.6
khaishi,Khaishi,700,42.57,42.11,4/21/1955,9.8,18.5,6.5,12,1,3.6
khaishi,Khaishi,700,42.57,42.11,4/22/1955,5.4,8.8,2.8,6,1,6.8
khaishi,Khaishi,700,42.57,42.11,4/23/1955,6.7,13.3,1.6,11.7,1,0
khaishi,Khaishi,700,42.57,42.11,4/24/1955,10.3,20.8,2.6,18.2,1,0
khaishi,Khaishi,700,42.57,42.11,4/25/1955,14.3,21.9,9.3,12.6,1,0
khaishi,Khaishi,700,42.57,42.11,4/26/1955,14.9,26.9,8.1,18.8,1,0
khaishi,Khaishi,700,42.57,42.11,4/27/1955,10.2,15.8,9.5,6.3,1,3.4
khaishi,Khaishi,700,42.57,42.11,4/28/1955,9,12.7,7.4,5.3,1,10
khaishi,Khaishi,700,42.57,42.11,4/29/1955,7.5,10.8,6.3,4.5,1,4.8
khaishi,Khaishi,700,42.57,42.11,4/30/1955,8.7,14.8,5.9,8.9,1,1.2
khaishi,Khaishi,700,42.57,42.11,5/1/1955,9.1,13.3,7.4,5.9,1,6.5
khaishi,Khaishi,700,42.57,42.11,5/2/1955,11.5,16.8,8.5,8.3,1,0
khaishi,Khaishi,700,42.57,42.11,5/3/1955,10.8,12.8,9.2,3.6,1,1.6
khaishi,Khaishi,700,42.57,42.11,5/4/1955,13,21.8,8.1,13.7,1,0
khaishi,Khaishi,700,42.57,42.11,5/5/1955,13,18.3,8.7,9.6,1,1.3
khaishi,Khaishi,700,42.57,42.11,5/6/1955,12.8,16.9,10.5,6.4,1,1.2
khaishi,Khaishi,700,42.57,42.11,5/7/1955,13.6,18.3,9.8,8.5,1,0
khaishi,Khaishi,700,42.57,42.11,5/8/1955,16,25.7,8.9,16.8,1,0
khaishi,Khaishi,700,42.57,42.11,5/9/1955,17,26.4,10.4,16,1,0
khaishi,Khaishi,700,42.57,42.11,5/10/1955,14.3,18.7,12.4,6.3,1,0
khaishi,Khaishi,700,42.57,42.11,5/11/1955,16.6,26.4,8.9,17.5,1,0
khaishi,Khaishi,700,42.57,42.11,5/12/1955,14.9,20.1,12.5,7.6,1,3.3
khaishi,Khaishi,700,42.57,42.11,5/13/1955,16.9,26.4,9.5,16.9,1,0
khaishi,Khaishi,700,42.57,42.11,5/14/1955,17.5,28,10.2,17.8,1,0
khaishi,Khaishi,700,42.57,42.11,5/15/1955,18.2,26.2,12.5,13.7,1,0
khaishi,Khaishi,700,42.57,42.11,5/16/1955,18.7,27.3,11.4,15.9,1,0
khaishi,Khaishi,700,42.57,42.11,5/17/1955,18.4,26.8,12.5,14.3,1,25.7
khaishi,Khaishi,700,42.57,42.11,5/18/1955,16.6,21.9,11.5,10.4,1,0
khaishi,Khaishi,700,42.57,42.11,5/19/1955,19.1,27.6,11.7,15.9,1,0
khaishi,Khaishi,700,42.57,42.11,5/20/1955,19.7,28.6,12.4,16.2,1,0
khaishi,Khaishi,700,42.57,42.11,5/21/1955,15.9,20.8,13.4,7.4,1,5.7
khaishi,Khaishi,700,42.57,42.11,5/22/1955,17.1,23.9,12.7,11.2,1,0
khaishi,Khaishi,700,42.57,42.11,5/23/1955,19.3,30.7,12,18.7,1,0.6
khaishi,Khaishi,700,42.57,42.11,5/24/1955,11.8,20.8,8.9,11.9,1,27.5
khaishi,Khaishi,700,42.57,42.11,5/25/1955,11,15.8,7.9,7.9,1,0
khaishi,Khaishi,700,42.57,42.11,5/26/1955,12.3,21.9,5.9,16,1,0
khaishi,Khaishi,700,42.57,42.11,5/27/1955,16.3,25.2,7.4,17.8,1,0
khaishi,Khaishi,700,42.57,42.11,5/28/1955,17.3,23,13.3,9.7,1,0
khaishi,Khaishi,700,42.57,42.11,5/29/1955,17.3,23,13.3,9.7,1,5.2
khaishi,Khaishi,700,42.57,42.11,5/30/1955,19.5,30.4,11.2,19.2,1,0
khaishi,Khaishi,700,42.57,42.11,5/31/1955,16,22.3,11.6,10.7,1,0
khaishi,Khaishi,700,42.57,42.11,6/1/1955,17.6,23,14,9,1,0.6
khaishi,Khaishi,700,42.57,42.11,6/2/1955,20.1,29.1,13.7,15.4,1,0
khaishi,Khaishi,700,42.57,42.11,6/3/1955,19.8,29,14.8,14.2,1,0
khaishi,Khaishi,700,42.57,42.11,6/4/1955,16.3,20.3,14.5,5.8,1,5.1
khaishi,Khaishi,700,42.57,42.11,6/5/1955,15.2,19.9,11.8,8.1,1,1.8
khaishi,Khaishi,700,42.57,42.11,6/6/1955,15.2,21.3,8.8,12.5,1,0
khaishi,Khaishi,700,42.57,42.11,6/7/1955,16.2,21.7,11.2,10.5,1,0
khaishi,Khaishi,700,42.57,42.11,6/8/1955,15.7,22.3,11,11.3,1,0
khaishi,Khaishi,700,42.57,42.11,6/9/1955,16.6,21,12.4,8.6,1,0
khaishi,Khaishi,700,42.57,42.11,6/10/1955,18.9,26.8,11,15.8,1,0
khaishi,Khaishi,700,42.57,42.11,6/11/1955,21.8,31.3,12.8,18.5,1,0
khaishi,Khaishi,700,42.57,42.11,6/12/1955,21.9,30.5,13.5,17,1,0
khaishi,Khaishi,700,42.57,42.11,6/13/1955,24.3,35.8,16.1,19.7,1,0
khaishi,Khaishi,700,42.57,42.11,6/14/1955,17.6,26.2,16.2,10,1,13.4
khaishi,Khaishi,700,42.57,42.11,6/15/1955,21.1,30.7,14.3,16.4,1,0
khaishi,Khaishi,700,42.57,42.11,6/16/1955,21.8,27.9,15.7,12.2,1,0
khaishi,Khaishi,700,42.57,42.11,6/17/1955,18.9,24.7,12.5,12.2,1,0
khaishi,Khaishi,700,42.57,42.11,6/18/1955,17.7,21.7,16.5,5.2,1,0
khaishi,Khaishi,700,42.57,42.11,6/19/1955,17.9,23.3,12.5,10.8,1,0
khaishi,Khaishi,700,42.57,42.11,6/20/1955,18.2,22.5,15,7.5,1,0
khaishi,Khaishi,700,42.57,42.11,6/21/1955,18.4,22.6,14.8,7.8,1,0
khaishi,Khaishi,700,42.57,42.11,6/22/1955,20.3,29.2,11.5,17.7,1,0
khaishi,Khaishi,700,42.57,42.11,6/23/1955,20.6,28.7,13.6,15.1,1,0
khaishi,Khaishi,700,42.57,42.11,6/24/1955,23,29.8,16,13.8,1,0
khaishi,Khaishi,700,42.57,42.11,6/25/1955,24.4,33.6,17.5,16.1,1,0
khaishi,Khaishi,700,42.57,42.11,6/26/1955,23.9,33.7,19.4,14.3,1,0
khaishi,Khaishi,700,42.57,42.11,6/27/1955,21.8,28.2,16,12.2,1,0
khaishi,Khaishi,700,42.57,42.11,6/28/1955,21.6,25.2,19,6.2,1,0
khaishi,Khaishi,700,42.57,42.11,6/29/1955,20.8,26.4,16.6,9.8,1,0
khaishi,Khaishi,700,42.57,42.11,6/30/1955,21.3,27.7,15.2,12.5,1,0
khaishi,Khaishi,700,42.57,42.11,7/1/1955,23.1,33.9,15.5,18.4,1,0
khaishi,Khaishi,700,42.57,42.11,7/2/1955,18.8,26.6,16.5,10.1,1,35.1
khaishi,Khaishi,700,42.57,42.11,7/3/1955,17.1,20.6,15.3,5.3,1,13.5
khaishi,Khaishi,700,42.57,42.11,7/4/1955,18.4,24,14.6,9.4,1,0
khaishi,Khaishi,700,42.57,42.11,7/5/1955,20.4,27,14.1,12.9,1,0
khaishi,Khaishi,700,42.57,42.11,7/6/1955,21.4,27,17.4,9.6,1,0.2
khaishi,Khaishi,700,42.57,42.11,7/7/1955,23.4,30.7,16.8,13.9,1,0
khaishi,Khaishi,700,42.57,42.11,7/8/1955,24.6,34.5,17.4,17.1,1,0
khaishi,Khaishi,700,42.57,42.11,7/9/1955,24.7,31.6,17.3,14.3,1,0
khaishi,Khaishi,700,42.57,42.11,7/10/1955,25.3,35.5,19,16.5,1,0
khaishi,Khaishi,700,42.57,42.11,7/11/1955,22.3,26.4,21,5.4,1,0
khaishi,Khaishi,700,42.57,42.11,7/12/1955,20.3,24.7,17.5,7.2,1,0
khaishi,Khaishi,700,42.57,42.11,7/13/1955,19.5,27.2,14.5,12.7,1,0
khaishi,Khaishi,700,42.57,42.11,7/14/1955,20.7,27.6,14,13.6,1,0
khaishi,Khaishi,700,42.57,42.11,7/15/1955,20,25.9,14,11.9,1,17.1
khaishi,Khaishi,700,42.57,42.11,7/16/1955,21,26.8,16,10.8,1,0
khaishi,Khaishi,700,42.57,42.11,7/17/1955,22.3,28,16.9,11.1,1,0
khaishi,Khaishi,700,42.57,42.11,7/18/1955,22.6,28.2,18.6,9.6,1,0
khaishi,Khaishi,700,42.57,42.11,7/19/1955,22.8,27.5,18.8,8.7,1,4.5
khaishi,Khaishi,700,42.57,42.11,7/20/1955,19.9,25.9,17,8.9,1,21.6
khaishi,Khaishi,700,42.57,42.11,7/21/1955,20,25.5,16,9.5,1,0
khaishi,Khaishi,700,42.57,42.11,7/22/1955,18.3,23.7,14.5,9.2,1,0
khaishi,Khaishi,700,42.57,42.11,7/23/1955,19.6,24.9,16.5,8.4,1,0.3
khaishi,Khaishi,700,42.57,42.11,7/24/1955,20.2,27,16,11,1,17.1
khaishi,Khaishi,700,42.57,42.11,7/25/1955,22.1,31.6,15.3,16.3,1,0
