hydro_year,pdd_degC_sum,n_freezing_days,n_days_p>=20.0mm
1955,3587.0,2,14
1956,3656.4,33,26
1957,4020.7,56,15
1958,4015.2,16,18
1959,3703.6,44,11
1960,3882.1,19,14
1961,3872.1,34,19
1962,4128.4,20,15
1963,4016.7,10,25
1964,3713.3,57,19
1965,3823.8,49,15
1966,4236.8,4,18
1967,4020.0,30,9
1968,3927.4,40,18
1969,4078.5,25,10
1970,4079.0,10,20
1971,4087.2,33,21
1972,3997.0,55,20
1973,3865.4,58,14
1974,3766.7,53,17
1975,4261.9,41,13
1976,3539.7,71,22
1977,4047.6,34,18
1978,3712.0,37,17
1979,4094.6,19,21
1980,3925.8,30,24
1981,3951.5,9,19
1982,3854.1,39,19
1983,3763.8,52,14
1984,3923.1,24,21
1985,3921.9,54,14
1986,4116.1,30,9
1987,3619.0,44,32
1988,3858.5,31,16
1989,4018.9,65,22
1990,3706.4,50,22
1991,2937.1,51,21
1992,3949.9,69,33
1993,461.7,10,12
