hydro_year,pdd_degC_sum,n_freezing_days,n_days_p>=20.0mm
1936,1654.5,0,9
1937,2090.9,3,18
1941,2170.7,59,30
1942,2352.8,128,31
1943,2388.7,116,19
1944,2596.9,90,23
1945,2018.9,115,22
1946,1425.9,73,13
1947,2531.0,77,19
1948,2597.2,96,33
1949,2360.6,139,24
1950,2623.0,93,31
1951,2748.5,72,44
1952,2375.7,110,34
1953,2631.3,93,41
1954,2483.6,134,38
1955,2741.3,54,27
1956,2261.5,103,34
1957,2689.7,123,32
1958,2473.2,93,35
1959,2356.5,108,33
1960,2385.9,87,26
1961,2650.7,78,28
1962,2785.4,81,28
1963,2555.9,66,36
1964,2374.5,114,23
1965,2567.8,98,24
1966,2669.2,61,33
1967,2589.9,92,17
1968,2586.2,103,40
1969,2572.4,92,19
1970,2522.3,72,25
1971,2639.7,80,29
1972,2590.7,119,29
1973,2357.3,104,20
1974,2297.4,123,28
1975,2921.5,96,24
1976,2203.9,101,27
1977,2731.4,80,26
1978,2296.3,95,30
1979,2696.2,91,24
1980,2613.1,104,32
1981,2530.3,75,23
1982,2528.4,93,19
1983,646.8,91,15
1984,2491.2,84,31
1985,2595.0,99,23
1986,2795.0,86,21
1987,2295.9,130,36
1988,2475.4,87,32
1989,2789.7,97,42
1990,2439.9,102,40
1991,2798.5,77,24
1992,2393.4,98,33
1993,0.0,31,2
