hydro_year,pdd_degC_sum,n_freezing_days,n_days_p>=20.0mm
1955,3343.7,5,10
1956,3342.5,58,25
1957,3758.6,67,18
1958,3756.6,20,23
1959,3423.4,65,15
1960,3577.4,22,22
1961,3616.9,65,16
1962,3930.4,37,13
1963,3735.9,26,25
1964,3564.3,70,16
1965,3525.9,83,14
1966,3878.0,16,23
1967,3617.9,39,17
1968,3580.2,67,24
1969,3755.9,58,11
1970,3692.1,20,17
1971,3788.0,50,19
1972,3664.4,67,15
1973,3612.2,70,8
1974,3405.4,73,11
1975,3906.0,61,14
1976,3359.4,89,25
1977,3770.9,38,16
1978,3451.3,49,18
1979,3795.0,44,18
1980,3665.4,53,21
1981,3719.2,30,22
1982,3535.3,63,26
1983,3533.7,78,17
1984,3609.4,50,21
1985,3644.5,70,16
1986,3805.4,59,16
1987,3321.5,66,29
1988,3507.2,61,24
1989,3794.1,67,16
1990,3546.3,76,23
1991,3811.5,61,16
1992,3509.7,83,17
1993,3449.9,77,18
1994,3791.5,52,12
1995,3934.1,38,23
1996,3874.9,43,18
1997,3629.3,52,26
1998,4087.5,49,24
1999,3769.3,28,19
2000,3928.7,59,21
2001,4069.5,41,22
2002,3773.3,43,25
2003,3774.4,52,19
2004,3920.2,42,29
2005,3791.3,57,34
2006,4139.0,42,18
2007,480.5,33,5
