station_id,station_name,elevation_m,latitude,longitude,year,month,tmean_c_month,tmax_c_month,tmin_c_month,dtr_c_month,precip_mm_month,n_days_month
lentekhi,Lentekhi,731,42.47,42.44,1955,1,2.367741935,7.193548387,-0.738709677,7.932258065,32.2,31
lentekhi,Lentekhi,731,42.47,42.44,1955,2,3.346428571,8.632142857,0.117857143,8.514285714,127.2,28
lentekhi,Lentekhi,731,42.47,42.44,1955,3,5.296774194,11.13225806,0.893548387,10.23870968,130.6,31
lentekhi,Lentekhi,731,42.47,42.44,1955,4,9.426666667,15.90333333,5.39,10.51333333,148.8,30
lentekhi,Lentekhi,731,42.47,42.44,1955,5,14.48709677,21.52258065,9.741935484,11.78064516,40.25,31
lentekhi,Lentekhi,731,42.47,42.44,1955,6,18.52333333,25.40333333,13.82,11.58333333,32.05,30
lentekhi,Lentekhi,731,42.47,42.44,1955,7,20.24516129,26.99032258,15.76774194,11.22258065,172.75,31
lentekhi,Lentekhi,731,42.47,42.44,1955,8,19.35806452,25.41935484,14.97741935,10.44193548,106.95,31
lentekhi,Lentekhi,731,42.47,42.44,1955,9,16.49333333,23.53,11.71333333,11.81666667,65.8,30
lentekhi,Lentekhi,731,42.47,42.44,1955,10,11.99032258,20.28387097,6.993548387,13.29032258,71,31
lentekhi,Lentekhi,731,42.47,42.44,1955,11,6.29,11.37,3.126666667,8.243333333,196.6,30
lentekhi,Lentekhi,731,42.47,42.44,1955,12,-0.590322581,2.322580645,-2.861290323,5.183870968,229.1,31
lentekhi,Lentekhi,731,42.47,42.44,1956,1,-1.212903226,2.680645161,-4.361290323,7.041935484,69.2,31
lentekhi,Lentekhi,731,42.47,42.44,1956,2,-0.465517241,3.051724138,-3.082758621,6.134482759,269,29
lentekhi,Lentekhi,731,42.47,42.44,1956,3,0.593548387,5.380645161,-2.561290323,7.941935484,139.2,31
lentekhi,Lentekhi,731,42.47,42.44,1956,4,7.866666667,15.42666667,3.343333333,12.08333333,89.5,30
lentekhi,Lentekhi,731,42.47,42.44,1956,5,11.19354839,17.18709677,6.970967742,10.21612903,96.3,31
lentekhi,Lentekhi,731,42.47,42.44,1956,6,16.83333333,23.42,12.11666667,11.30333333,113.15,30
lentekhi,Lentekhi,731,42.47,42.44,1956,7,18.13548387,23.74516129,13.78387097,9.961290323,49.05,31
lentekhi,Lentekhi,731,42.47,42.44,1956,8,20.69354839,28.2483871,14.81935484,13.42903226,35.65,31
lentekhi,Lentekhi,731,42.47,42.44,1956,9,13.22,19.56,8.873333333,10.68666667,147.05,30
lentekhi,Lentekhi,731,42.47,42.44,1956,10,8.54516129,16.47741935,3.980645161,12.49677419,103.8,31
lentekhi,Lentekhi,731,42.47,42.44,1956,11,1.426666667,5.393333333,-1.063333333,6.456666667,245.9,30
lentekhi,Lentekhi,731,42.47,42.44,1956,12,-3.448387097,0.158064516,-6.116129032,6.274193548,93.8,31
lentekhi,Lentekhi,731,42.47,42.44,1957,1,-3.329032258,0.564516129,-6.296774194,6.861290323,55.6,31
lentekhi,Lentekhi,731,42.47,42.44,1957,2,1.85,7.457142857,-1.646428571,9.103571429,70.05,28
lentekhi,Lentekhi,731,42.47,42.44,1957,3,2.722580645,7.758064516,-0.361290323,8.119354839,174.35,31
lentekhi,Lentekhi,731,42.47,42.44,1957,4,12.06666667,19.23,7.013333333,12.21666667,18.5,30
lentekhi,Lentekhi,731,42.47,42.44,1957,5,15.69354839,22.34193548,11.22903226,11.11290323,77.85,31
lentekhi,Lentekhi,731,42.47,42.44,1957,6,18.12666667,25.16666667,13.34,11.82666667,125.4,30
lentekhi,Lentekhi,731,42.47,42.44,1957,7,20.09677419,27.01935484,15.11612903,11.90322581,54.05,31
lentekhi,Lentekhi,731,42.47,42.44,1957,8,21.98387097,29.2,17.13225806,12.06774194,21,31
lentekhi,Lentekhi,731,42.47,42.44,1957,9,18.47666667,26.75333333,13.12,13.63333333,115.45,30
lentekhi,Lentekhi,731,42.47,42.44,1957,10,10.62903226,18.3516129,5.316129032,13.03548387,47.7,31
lentekhi,Lentekhi,731,42.47,42.44,1957,11,5.976666667,10.99333333,2.463333333,8.53,71.65,30
lentekhi,Lentekhi,731,42.47,42.44,1957,12,1.874193548,5.193548387,-0.338709677,5.532258065,177.75,31
lentekhi,Lentekhi,731,42.47,42.44,1958,1,1.374193548,4.832258065,-1.264516129,6.096774194,125.75,31
lentekhi,Lentekhi,731,42.47,42.44,1958,2,1.239285714,6.342857143,-2.1,8.442857143,114.5,28
lentekhi,Lentekhi,731,42.47,42.44,1958,3,3.767741935,8.432258065,0.687096774,7.74516129,256.35,31
lentekhi,Lentekhi,731,42.47,42.44,1958,4,8.98,15.37,4.863333333,10.50666667,169.65,30
lentekhi,Lentekhi,731,42.47,42.44,1958,5,16.16129032,23.98709677,10.85483871,13.13225806,66.25,31
