hydro_year,pdd_degC_sum,n_freezing_days,n_days_p>=20.0mm
1957,951.8,115,5
1958,817.5,207,6
1959,677.5,211,10
1960,760.6,229,8
1961,837.0,200,5
1962,981.0,214,5
1963,733.5,214,12
1964,785.9,208,5
1965,876.5,200,0
1966,881.1,226,3
1967,731.2,189,5
1968,833.2,194,3
1969,857.4,211,0
1970,719.8,206,5
1971,942.4,148,4
1972,856.4,206,6
1973,767.4,208,0
1974,743.2,209,7
1975,1046.8,175,6
1976,734.3,234,4
1977,820.8,196,2
1978,776.1,234,1
1979,959.8,201,7
1980,927.0,207,9
1981,865.8,227,2
1982,830.1,194,7
1983,847.7,214,2
1984,853.1,218,1
1985,912.9,213,17
1986,1022.3,214,4
1987,645.2,137,4
1988,32.6,76,4
1989,990.1,35,4
1990,819.8,225,18
1991,703.6,167,0
1992,824.4,223,6
1993,54.1,73,1
