hydro_year,pdd_degC_sum,n_freezing_days,n_days_p>=20.0mm
1959,2159.4,80,5
1960,2456.5,107,5
1961,2638.5,111,11
1962,2810.4,90,7
1963,2557.5,85,17
1964,2492.1,106,8
1965,2517.9,118,6
1966,2634.9,69,10
1967,2620.4,94,11
1968,2661.4,120,8
1969,2706.3,100,8
1970,2550.0,83,10
1971,2604.4,94,9
1972,2593.1,122,9
1973,2601.6,104,6
1974,2468.4,121,13
1975,2826.7,104,8
1976,2399.2,114,9
1977,2662.9,87,9
1978,2373.1,90,10
1979,2716.1,102,9
1980,2648.5,114,10
1981,2574.7,93,12
1982,2536.9,115,11
1983,2594.0,123,5
1984,2576.4,108,8
1985,2670.9,106,9
1986,2834.8,93,7
1987,2418.6,128,16
1988,2543.1,100,11
1989,2754.9,107,14
1990,2603.9,116,14
1991,2783.6,105,5
1992,2175.6,112,5
