hydro_year,pdd_degC_sum,n_freezing_days,n_days_p>=20.0mm
1936,2206.7,72,8
1937,2726.1,93,14
1938,2793.6,100,10
1939,2573.0,117,21
1940,2726.4,109,24
1941,2645.3,82,17
1942,2396.1,139,10
1943,2134.3,116,6
1944,2627.0,100,18
1945,2339.6,132,12
1946,2460.1,113,12
1947,2569.1,81,19
1948,2424.3,119,14
1949,2362.0,142,11
1950,2605.4,93,9
1951,2643.7,92,15
1952,2370.7,123,6
1953,2496.9,115,18
1954,2411.4,136,12
1955,2497.5,82,9
1956,2133.8,131,16
1957,2440.3,133,7
1958,2288.7,109,14
1959,2185.2,131,14
1960,2206.2,116,21
1961,2417.6,113,15
1962,2587.7,95,11
1963,2393.2,85,19
1964,2300.2,113,11
1965,2367.8,120,11
1966,2487.4,76,18
1967,2398.8,100,11
1968,2459.2,126,17
1969,2496.5,103,11
1970,2537.7,83,19
1971,2491.4,88,12
1972,2455.7,125,14
1973,2411.0,107,3
1974,2250.4,142,9
1975,2720.4,114,6
1976,2233.0,127,10
1977,2547.6,92,11
1978,2195.6,102,15
1979,2490.0,115,17
1980,2513.2,122,14
1981,2409.7,105,15
1982,2387.1,127,12
1983,2390.9,113,13
1984,2366.1,106,22
1985,2457.1,111,9
1986,2617.4,104,8
1987,2248.0,140,28
1988,2239.7,116,17
1989,2628.8,105,16
1990,2349.5,118,25
1991,2575.6,105,8
1992,2296.1,122,19
1993,233.2,45,6
2004,2186.5,77,13
2005,307.9,37,3
2006,2466.3,62,7
2007,312.5,49,14
2008,0.0,0,19
2009,0.0,0,16
2010,0.0,0,11
2011,0.0,0,6
