hydro_year,pdd_degC_sum,n_freezing_days,n_days_p>=20.0mm
1957,3819.3,30,12
1958,4361.8,14,15
1959,3978.8,39,27
1960,4279.3,14,16
1961,4303.2,22,19
1962,4634.3,18,11
1963,4431.8,7,21
1964,4084.7,54,18
1965,4135.5,40,13
1966,4607.4,6,20
1967,4313.8,19,13
1968,4239.1,40,23
1969,4295.5,27,11
1970,4491.1,5,17
1971,4435.0,22,18
1972,4278.9,53,24
1973,4197.2,38,7
1974,3988.0,53,18
1975,4504.4,33,12
1976,3790.8,67,20
1977,4342.6,21,15
1978,4036.9,21,19
1979,4418.0,14,8
1980,4200.1,28,16
1981,4303.1,3,18
1982,4139.9,39,20
1983,3960.8,46,23
1984,4225.1,11,15
1985,4144.1,43,16
1986,4377.4,30,15
1987,3895.3,30,21
1988,4116.3,32,20
1989,4323.2,52,23
1990,4023.0,56,26
1991,4395.9,32,14
1992,4035.9,39,15
1993,613.7,11,8
1998,3949.9,24,8
1999,4084.1,6,16
2004,3844.8,9,11
2005,712.2,13,6
2006,3640.9,24,8
2007,663.3,7,8
