hydro_year,pdd_degC_sum,n_freezing_days,n_days_p>=20.0mm
1936,3903.9,2,18
1937,4333.8,12,23
1938,5352.5,3,20
1939,5197.0,0,35
1940,5108.9,10,31
1941,5356.0,5,19
1942,4676.3,18,26
1943,4793.1,3,23
1944,5263.3,5,33
1945,4971.5,5,24
1946,4983.2,8,20
1947,4682.5,6,20
1948,5266.1,3,28
1949,4646.7,16,23
1950,4993.9,24,27
1951,5463.6,2,23
1952,4954.4,0,31
1953,5293.5,1,32
1954,4849.9,16,33
1955,5465.2,0,27
1956,4769.9,8,29
1957,4905.0,10,19
1958,5105.6,5,33
1959,4647.4,19,22
1960,4863.9,7,24
1961,5065.3,6,30
1962,5356.8,0,26
1963,5266.2,2,31
1964,4739.7,17,26
1965,5035.1,2,25
1966,5465.8,1,25
1967,5131.6,7,26
1968,5139.4,7,33
1969,5181.0,0,22
1970,5359.5,0,31
1971,5247.7,6,25
1972,5068.9,13,30
1973,4852.7,4,25
1974,4772.1,1,29
1975,5377.7,3,23
1976,4601.0,9,38
1977,5151.8,1,28
1978,4938.7,0,41
1979,5374.5,4,27
1980,5082.7,6,30
1981,5240.4,0,36
1982,5115.0,2,33
1983,4836.8,16,30
1984,5129.2,0,28
1985,4898.0,17,20
1986,5256.1,3,25
1987,4878.0,0,33
1988,5061.3,3,36
1989,4987.1,8,37
1990,4852.4,0,41
1991,5133.2,3,22
1992,4787.0,9,28
1993,4719.9,17,39
1994,902.8,0,7
1998,4415.7,2,19
1999,5693.8,0,23
2000,5051.5,1,25
2001,5520.2,0,24
2002,5305.6,2,37
2003,5097.2,5,29
2004,5254.2,3,30
2005,5314.1,2,40
2006,5343.3,4,27
2007,5278.3,4,29
2008,5213.8,6,37
2009,5316.7,3,38
2010,6035.8,1,34
2011,1270.3,0,4
