station_id,station_name,elevation_m,latitude,longitude,year,month,tmean_c_month,tmax_c_month,tmin_c_month,dtr_c_month,precip_mm_month,n_days_month
zugdidi,Zugdidi,118.0,42.31,41.53,1936,1,6.187096774193549,11.551612903225807,1.5870967741935484,9.964516129032257,99.39999999999999,31
zugdidi,Zugdidi,118.0,42.31,41.53,1936,2,7.165517241379311,11.56551724137931,2.2758620689655173,9.289655172413791,96.0,29
zugdidi,Zugdidi,118.0,42.31,41.53,1936,3,9.916129032258064,15.748387096774193,3.967741935483871,11.780645161290321,31.3,31
zugdidi,Zugdidi,118.0,42.31,41.53,1936,5,17.16774193548387,23.506451612903227,11.651612903225805,11.85483870967742,119.8,31
zugdidi,Zugdidi,118.0,42.31,41.53,1936,6,20.003333333333334,24.396666666666665,14.856666666666666,9.54,250.2,30
zugdidi,Zugdidi,118.0,42.31,41.53,1936,7,24.40967741935484,28.483870967741936,19.919354838709676,8.564516129032258,269.6,31
zugdidi,Zugdidi,118.0,42.31,41.53,1936,8,24.996774193548386,31.241935483870968,19.14516129032258,12.096774193548388,186.1,31
zugdidi,Zugdidi,118.0,42.31,41.53,1936,9,17.686666666666667,24.796666666666667,12.55,12.246666666666666,232.2,30
zugdidi,Zugdidi,118.0,42.31,41.53,1936,12,3.5549999999999997,9.370000000000001,0.05500000000000001,9.315000000000001,61.9,20
zugdidi,Zugdidi,118.0,42.31,41.53,1937,1,2.267741935483871,7.187096774193549,-0.7838709677419355,7.970967741935484,269.3,31
zugdidi,Zugdidi,118.0,42.31,41.53,1937,2,6.253571428571428,12.153571428571428,2.7607142857142857,9.392857142857142,123.75,28
zugdidi,Zugdidi,118.0,42.31,41.53,1937,3,10.912903225806453,17.44193548387097,6.332258064516129,11.10967741935484,42.949999999999996,31
zugdidi,Zugdidi,118.0,42.31,41.53,1937,4,13.43,19.63,8.533333333333333,11.096666666666668,134.70000000000002,30
zugdidi,Zugdidi,118.0,42.31,41.53,1937,5,16.748387096774195,21.96451612903226,12.616129032258065,9.348387096774195,135.25,31
zugdidi,Zugdidi,118.0,42.31,41.53,1937,6,18.706666666666667,23.136666666666667,13.443333333333333,9.693333333333333,117.0,30
zugdidi,Zugdidi,118.0,42.31,41.53,1937,7,24.719354838709677,29.56451612903226,19.432258064516127,10.13225806451613,42.3,31
zugdidi,Zugdidi,118.0,42.31,41.53,1937,8,24.083870967741937,29.387096774193548,19.541935483870965,9.845161290322581,304.2,31
zugdidi,Zugdidi,118.0,42.31,41.53,1937,9,22.15666666666667,29.326666666666664,16.92,12.406666666666666,174.2,30
zugdidi,Zugdidi,118.0,42.31,41.53,1937,10,16.5258064516129,23.551612903225806,12.048387096774194,11.503225806451614,129.8,31
zugdidi,Zugdidi,118.0,42.31,41.53,1937,11,13.066666666666666,19.19,8.696666666666665,10.493333333333334,110.15,30
zugdidi,Zugdidi,118.0,42.31,41.53,1937,12,9.76774193548387,15.861290322580645,5.483870967741935,10.37741935483871,70.15,31
zugdidi,Zugdidi,118.0,42.31,41.53,1938,1,5.977419354838709,10.580645161290322,2.541935483870968,8.038709677419355,159.25,31
zugdidi,Zugdidi,118.0,42.31,41.53,1938,2,4.325,8.582142857142857,1.2750000000000001,7.307142857142857,113.65,28
zugdidi,Zugdidi,118.0,42.31,41.53,1938,3,5.003225806451613,9.893548387096773,1.3290322580645162,8.564516129032258,234.25,31
zugdidi,Zugdidi,118.0,42.31,41.53,1938,4,11.953333333333335,18.19333333333333,7.403333333333333,10.79,166.7,30
zugdidi,Zugdidi,118.0,42.31,41.53,1938,5,17.548387096774192,23.441935483870967,12.422580645161291,11.019354838709676,104.35000000000001,31
zugdidi,Zugdidi,118.0,42.31,41.53,1938,6,19.32,23.773333333333333,16.076666666666668,7.696666666666667,297.5,30
zugdidi,Zugdidi,118.0,42.31,41.53,1938,7,25.358064516129033,30.93548387096774,20.190322580645162,10.745161290322581,46.25,31
zugdidi,Zugdidi,118.0,42.31,41.53,1938,8,25.10967741935484,31.532258064516128,19.55483870967742,11.97741935483871,94.39999999999999,31
zugdidi,Zugdidi,118.0,42.31,41.53,1938,9,21.216666666666665,28.203333333333333,16.156666666666666,12.046666666666665,99.6,30
zugdidi,Zugdidi,118.0,42.31,41.53,1938,10,15.393548387096773,23.358064516129033,10.225806451612904,13.13225806451613,77.7,31
zugdidi,Zugdidi,118.0,42.31,41.53,1938,11,10.743333333333334,16.913333333333334,6.7266666666666675,10.186666666666666,157.85,30
zugdidi,Zugdidi,118.0,42.31,41.53,1938,12,8.432258064516128,13.480645161290322,4.074193548387097,9.406451612903227,120.60000000000001,31
zugdidi,Zugdidi,118.0,42.31,41.53,1939,1,6.990322580645161,12.796774193548387,2.770967741935484,10.025806451612903,221.35,31
zugdidi,Zugdidi,118.0,42.31,41.53,1939,2,5.2178571428571425,10.153571428571428,1.6928571428571428,8.460714285714285,147.05,28
zugdidi,Zugdidi,118.0,42.31,41.53,1939,3,8.141935483870968,13.46774193548387,4.080645161290323,9.387096774193548,174.7,31
zugdidi,Zugdidi,118.0,42.31,41.53,1939,4,11.84,17.75,6.983333333333333,10.766666666666667,105.8,30
zugdidi,Zugdidi,118.0,42.31,41.53,1939,5,18.325806451612905,24.729032258064517,12.96774193548387,11.761290322580646,216.95,31
zugdidi,Zugdidi,118.0,42.31,41.53,1939,6,20.976666666666667,25.93,16.743333333333332,9.186666666666667,133.29999999999998,30
zugdidi,Zugdidi,118.0,42.31,41.53,1939,7,22.77741935483871,27.28064516129032,18.690322580645162,8.59032258064516,356.55,31
zugdidi,Zugdidi,118.0,42.31,41.53,1939,8,22.461290322580645,27.56451612903226,18.11935483870968,9.44516129032258,135.65,31
zugdidi,Zugdidi,118.0,42.31,41.53,1939,9,18.863333333333333,24.476666666666667,14.023333333333333,10.453333333333335,243.15,30
zugdidi,Zugdidi,118.0,42.31,41.53,1939,10,15.538709677419355,21.82903225806452,10.941935483870967,10.887096774193548,246.54999999999998,31
zugdidi,Zugdidi,118.0,42.31,41.53,1939,11,9.53,15.033333333333333,5.583333333333333,9.45,206.2,30
zugdidi,Zugdidi,118.0,42.31,41.53,1939,12,8.174193548387096,12.870967741935484,4.748387096774193,8.122580645161289,181.9,31
zugdidi,Zugdidi,118.0,42.31,41.53,1940,1,3.8354838709677415,7.774193548387097,0.667741935483871,7.106451612903225,322.55,31
zugdidi,Zugdidi,118.0,42.31,41.53,1940,2,6.424137931034483,11.668965517241379,2.717241379310345,8.951724137931036,99.64999999999999,29
zugdidi,Zugdidi,118.0,42.31,41.53,1940,3,6.6,12.745161290322581,1.9096774193548387,10.83548387096774,115.05,31
zugdidi,Zugdidi,118.0,42.31,41.53,1940,4,13.683333333333334,20.413333333333334,8.97,11.443333333333333,64.05,30
zugdidi,Zugdidi,118.0,42.31,41.53,1940,5,15.8,22.070967741935487,10.66451612903226,11.406451612903227,105.45,31
zugdidi,Zugdidi,118.0,42.31,41.53,1940,6,20.813333333333333,26.59,15.44,11.15,259.6,30
zugdidi,Zugdidi,118.0,42.31,41.53,1940,7,23.312903225806455,27.9741935483871,18.719354838709677,9.254838709677419,89.2,31
zugdidi,Zugdidi,118.0,42.31,41.53,1940,8,24.048387096774192,28.845161290322583,20.048387096774192,8.796774193548387,126.85,31
zugdidi,Zugdidi,118.0,42.31,41.53,1940,9,19.07,25.30666666666667,14.05,11.256666666666666,106.05,30
zugdidi,Zugdidi,118.0,42.31,41.53,1940,10,14.712903225806452,20.16774193548387,10.890322580645162,9.27741935483871,217.35,31
zugdidi,Zugdidi,118.0,42.31,41.53,1940,11,11.966666666666667,19.716666666666665,7.133333333333334,12.583333333333334,34.25,30
zugdidi,Zugdidi,118.0,42.31,41.53,1940,12,8.103225806451613,12.23225806451613,4.770967741935484,7.461290322580646,273.1,31
zugdidi,Zugdidi,118.0,42.31,41.53,1941,1,5.622580645161291,9.816129032258065,2.148387096774194,7.66774193548387,187.45,31
zugdidi,Zugdidi,118.0,42.31,41.53,1941,2,9.110714285714286,14.546428571428573,5.307142857142857,9.239285714285714,70.7,28
zugdidi,Zugdidi,118.0,42.31,41.53,1941,3,7.148387096774194,11.848387096774195,4.077419354838709,7.770967741935484,154.35,31
