ID,Station,year,month,day,T_mean,T_max,T_min2,Prec(mm)
1,ხაიში,1955,1,1,3.6,5.8,1.9,0
2,ხაიში,1955,1,2,2.8,6.2,0.5,0
3,ხაიში,1955,1,3,3.5,7.2,2,0
4,ხაიში,1955,1,4,2.8,5.8,-0.1,0
5,ხაიში,1955,1,5,4.2,7.2,1.2,0
6,ხაიში,1955,1,6,3.2,5.9,0.1,0
7,ხაიში,1955,1,7,1.2,3.2,0.5,5.7
8,ხაიში,1955,1,8,1.5,3.2,0.5,1.6
9,ხაიში,1955,1,9,2.4,5.2,1,0
10,ხაიში,1955,1,10,4.3,8.4,1,0
11,ხაიში,1955,1,11,5.1,8.7,1.6,0
12,ხაიში,1955,1,12,6,10.3,3.3,0
13,ხაიში,1955,1,13,5.8,7.7,4,1.5
14,ხაიში,1955,1,14,5.4,7.4,3.8,3.6
15,ხაიში,1955,1,15,7.2,11.6,4.5,0.8
16,ხაიში,1955,1,16,5.2,9.3,3,17.6
17,ხაიში,1955,1,17,0.7,3.5,-1.8,0
18,ხაიში,1955,1,18,3.6,7.6,1.4,0
19,ხაიში,1955,1,19,4.2,7.2,1.5,0
20,ხაიში,1955,1,20,3.6,7.2,1.6,0
21,ხაიში,1955,1,21,3.2,5.8,1.5,0
22,ხაიში,1955,1,22,2.8,8.4,-0.6,0
23,ხაიში,1955,1,23,3.4,7.7,0.5,0
24,ხაიში,1955,1,24,5.5,8.7,3.2,2
25,ხაიში,1955,1,25,1.8,5,0.6,8.1
26,ხაიში,1955,1,26,1.2,3.1,-0.5,0
27,ხაიში,1955,1,27,1.2,4.7,-0.5,0
28,ხაიში,1955,1,28,0.2,3.4,-2.9,0
29,ხაიში,1955,1,29,0.4,4.7,-0.9,0
30,ხაიში,1955,1,30,0,3.8,-1.9,0
31,ხაიში,1955,1,31,0,7.1,-2.2,0
32,ხაიში,1955,2,1,0.8,6.5,-1.5,0
33,ხაიში,1955,2,2,1.2,5.2,-1.3,0
34,ხაიში,1955,2,3,2.9,7.4,-1.1,0
35,ხაიში,1955,2,4,5.4,10.8,1.8,0
36,ხაიში,1955,2,5,6.4,11.3,3,0
37,ხაიში,1955,2,6,5.2,12,2,0
38,ხაიში,1955,2,7,5,7.7,2.2,0.4
39,ხაიში,1955,2,8,6.9,11.8,4.5,0
40,ხაიში,1955,2,9,6,11.5,2,0
41,ხაიში,1955,2,10,6,12,2,0
42,ხაიში,1955,2,11,4,7.1,0.5,14.6
43,ხაიში,1955,2,12,1.9,3.6,0.4,8.2
44,ხაიში,1955,2,13,2.1,5.2,0.2,7.4
45,ხაიში,1955,2,14,1.7,4.7,0.1,16.2
46,ხაიში,1955,2,15,3.5,5.2,2.1,24.4
47,ხაიში,1955,2,16,3.2,5.5,1.6,26.2
48,ხაიში,1955,2,17,2,7.7,-0.6,0.2
49,ხაიში,1955,2,18,4.5,6.2,2.5,0
50,ხაიში,1955,2,19,6.6,9.3,4.2,1.6
51,ხაიში,1955,2,20,6,7.7,4.6,13
52,ხაიში,1955,2,21,6.3,11,3.4,9.3
53,ხაიში,1955,2,22,6.3,12.3,3.4,7.2
54,ხაიში,1955,2,23,1.8,4.2,0.3,2.4
55,ხაიში,1955,2,24,1,7.6,-1.5,1.2
56,ხაიში,1955,2,25,1.4,3.1,-0.2,4.2
57,ხაიში,1955,2,26,3,6.3,0.4,17.7
58,ხაიში,1955,2,27,6.8,12.5,3.6,1.1
59,ხაიში,1955,2,28,5.8,8.7,4.6,2.1
60,ხაიში,1955,3,1,5.7,12.9,0.9,0
61,ხაიში,1955,3,2,8.6,12.3,4.9,0
62,ხაიში,1955,3,3,3.9,9.2,1.5,23
63,ხაიში,1955,3,4,0.4,2.7,-0.6,0.7
64,ხაიში,1955,3,5,0.2,3.8,-4,0
65,ხაიში,1955,3,6,4.7,10.3,0.9,0.3
66,ხაიში,1955,3,7,4.3,6.4,3.4,4.4
67,ხაიში,1955,3,8,5.2,12.5,1.8,0
68,ხაიში,1955,3,9,5.4,14.8,0.4,0
69,ხაიში,1955,3,10,6,16.8,0.6,0
70,ხაიში,1955,3,11,6.6,15.5,0.2,0
71,ხაიში,1955,3,12,5.2,10.7,0.9,0
72,ხაიში,1955,3,13,5.9,10.3,4.2,0
73,ხაიში,1955,3,14,5.6,13,2.6,0.3
74,ხაიში,1955,3,15,5.4,11.7,1.2,0.1
75,ხაიში,1955,3,16,3.7,7.6,1.5,3.9
76,ხაიში,1955,3,17,6.1,10.8,2.5,0.2
77,ხაიში,1955,3,18,7,15.3,1.5,0
78,ხაიში,1955,3,19,6.2,13.3,2.5,12.9
79,ხაიში,1955,3,20,8,15.9,2.5,0
80,ხაიში,1955,3,21,9,18.3,2.6,0
81,ხაიში,1955,3,22,9.9,20.5,3.2,0
82,ხაიში,1955,3,23,9.7,19.5,3,0
83,ხაიში,1955,3,24,9.4,17.7,2.7,0
84,ხაიში,1955,3,25,7.1,12.1,6.2,0.6
85,ხაიში,1955,3,26,8.8,16.8,3.6,0
86,ხაიში,1955,3,27,8.9,17.7,2.5,0
87,ხაიში,1955,3,28,9.8,19.6,2.7,0
88,ხაიში,1955,3,29,9.2,13.6,5.2,8.6
89,ხაიში,1955,3,30,9.2,13,6.4,15.1
90,ხაიში,1955,3,31,7.7,10.6,5.5,33
91,ხაიში,1955,4,1,12.2,24.1,6.4,0.4
92,ხაიში,1955,4,2,14.5,23.9,8.2,0
93,ხაიში,1955,4,3,12.1,17.9,9,0
94,ხაიში,1955,4,4,11.7,13.5,10.2,5.5
95,ხაიში,1955,4,5,9.5,12.9,8.2,24.8
96,ხაიში,1955,4,6,11,17.5,7.6,0
97,ხაიში,1955,4,7,8.6,12.3,7.6,7.9
98,ხაიში,1955,4,8,9,16,5.2,0.8
99,ხაიში,1955,4,9,5.9,9.2,5,3.5
100,ხაიში,1955,4,10,5.8,10.1,4.2,0
101,ხაიში,1955,4,11,7.4,13.6,2.2,0
102,ხაიში,1955,4,12,8.9,19.8,2,0
103,ხაიში,1955,4,13,10.9,18.9,5.6,0.6
104,ხაიში,1955,4,14,9.7,15.5,6.2,1.8
105,ხაიში,1955,4,15,13.4,22.5,8.2,3.9
106,ხაიში,1955,4,16,14.2,23.3,8.2,0
107,ხაიში,1955,4,17,15.6,23.8,11.4,0
108,ხაიში,1955,4,18,14.7,22.8,9,3.5
109,ხაიში,1955,4,19,11.8,18.5,9.4,3.8
110,ხაიში,1955,4,20,10.4,16.1,7.2,1.6
111,ხაიში,1955,4,21,9.8,18.5,6.5,3.6
112,ხაიში,1955,4,22,5.4,8.8,2.8,6.8
113,ხაიში,1955,4,23,6.7,13.3,1.6,0
114,ხაიში,1955,4,24,10.3,20.8,2.6,0
115,ხაიში,1955,4,25,14.3,21.9,9.3,0
116,ხაიში,1955,4,26,14.9,26.9,8.1,0
117,ხაიში,1955,4,27,10.2,15.8,9.5,3.4
118,ხაიში,1955,4,28,9,12.7,7.4,10
119,ხაიში,1955,4,29,7.5,10.8,6.3,4.8
120,ხაიში,1955,4,30,8.7,14.8,5.9,1.2
121,ხაიში,1955,5,1,9.1,13.3,7.4,6.5
122,ხაიში,1955,5,2,11.5,16.8,8.5,0
123,ხაიში,1955,5,3,10.8,12.8,9.2,1.6
124,ხაიში,1955,5,4,13,21.8,8.1,0
125,ხაიში,1955,5,5,13,18.3,8.7,1.3
126,ხაიში,1955,5,6,12.8,16.9,10.5,1.2
127,ხაიში,1955,5,7,13.6,18.3,9.8,0
128,ხაიში,1955,5,8,16,25.7,8.9,0
129,ხაიში,1955,5,9,17,26.4,10.4,0
130,ხაიში,1955,5,10,14.3,18.7,12.4,0
131,ხაიში,1955,5,11,16.6,26.4,8.9,0
132,ხაიში,1955,5,12,14.9,20.1,12.5,3.3
133,ხაიში,1955,5,13,16.9,26.4,9.5,0
134,ხაიში,1955,5,14,17.5,28,10.2,0
135,ხაიში,1955,5,15,18.2,26.2,12.5,0
136,ხაიში,1955,5,16,18.7,27.3,11.4,0
137,ხაიში,1955,5,17,18.4,26.8,12.5,25.7
138,ხაიში,1955,5,18,16.6,21.9,11.5,0
139,ხაიში,1955,5,19,19.1,27.6,11.7,0
140,ხაიში,1955,5,20,19.7,28.6,12.4,0
141,ხაიში,1955,5,21,15.9,20.8,13.4,5.7
142,ხაიში,1955,5,22,17.1,23.9,12.7,0
143,ხაიში,1955,5,23,19.3,30.7,12,0.6
144,ხაიში,1955,5,24,11.8,20.8,8.9,27.5
145,ხაიში,1955,5,25,11,15.8,7.9,0
146,ხაიში,1955,5,26,12.3,21.9,5.9,0
147,ხაიში,1955,5,27,16.3,25.2,7.4,0
148,ხაიში,1955,5,28,17.3,23,13.3,0
149,ხაიში,1955,5,29,17.3,23,13.3,5.2
150,ხაიში,1955,5,30,19.5,30.4,11.2,0
151,ხაიში,1955,5,31,16,22.3,11.6,0
152,ხაიში,1955,6,1,17.6,23,14,0.6
153,ხაიში,1955,6,2,20.1,29.1,13.7,0
154,ხაიში,1955,6,3,19.8,29,14.8,0
155,ხაიში,1955,6,4,16.3,20.3,14.5,5.1
156,ხაიში,1955,6,5,15.2,19.9,11.8,1.8
157,ხაიში,1955,6,6,15.2,21.3,8.8,0
158,ხაიში,1955,6,7,16.2,21.7,11.2,0
159,ხაიში,1955,6,8,15.7,22.3,11,0
160,ხაიში,1955,6,9,16.6,21,12.4,0
161,ხაიში,1955,6,10,18.9,26.8,11,0
162,ხაიში,1955,6,11,21.8,31.3,12.8,0
163,ხაიში,1955,6,12,21.9,30.5,13.5,0
164,ხაიში,1955,6,13,24.3,35.8,16.1,0
165,ხაიში,1955,6,14,17.6,26.2,16.2,13.4
166,ხაიში,1955,6,15,21.1,30.7,14.3,0
167,ხაიში,1955,6,16,21.8,27.9,15.7,0
168,ხაიში,1955,6,17,18.9,24.7,12.5,0
169,ხაიში,1955,6,18,17.7,21.7,16.5,0
170,ხაიში,1955,6,19,17.9,23.3,12.5,0
171,ხაიში,1955,6,20,18.2,22.5,15,0
172,ხაიში,1955,6,21,18.4,22.6,14.8,0
173,ხაიში,1955,6,22,20.3,29.2,11.5,0
174,ხაიში,1955,6,23,20.6,28.7,13.6,0
175,ხაიში,1955,6,24,23,29.8,16,0
176,ხაიში,1955,6,25,24.4,33.6,17.5,0
177,ხაიში,1955,6,26,23.9,33.7,19.4,0
178,ხაიში,1955,6,27,21.8,28.2,16,0
179,ხაიში,1955,6,28,21.6,25.2,19,0
180,ხაიში,1955,6,29,20.8,26.4,16.6,0
181,ხაიში,1955,6,30,21.3,27.7,15.2,0
182,ხაიში,1955,7,1,23.1,33.9,15.5,0
183,ხაიში,1955,7,2,18.8,26.6,16.5,35.1
184,ხაიში,1955,7,3,17.1,20.6,15.3,13.5
185,ხაიში,1955,7,4,18.4,24,14.6,0
186,ხაიში,1955,7,5,20.4,27,14.1,0
187,ხაიში,1955,7,6,21.4,27,17.4,0.2
188,ხაიში,1955,7,7,23.4,30.7,16.8,0
189,ხაიში,1955,7,8,24.6,34.5,17.4,0
190,ხაიში,1955,7,9,24.7,31.6,17.3,0
191,ხაიში,1955,7,10,25.3,35.5,19,0
192,ხაიში,1955,7,11,22.3,26.4,21,0
193,ხაიში,1955,7,12,20.3,24.7,17.5,0
194,ხაიში,1955,7,13,19.5,27.2,14.5,0
195,ხაიში,1955,7,14,20.7,27.6,14,0
196,ხაიში,1955,7,15,20,25.9,14,17.1
197,ხაიში,1955,7,16,21,26.8,16,0
198,ხაიში,1955,7,17,22.3,28,16.9,0
199,ხაიში,1955,7,18,22.6,28.2,18.6,0
200,ხაიში,1955,7,19,22.8,27.5,18.8,4.5
201,ხაიში,1955,7,20,19.9,25.9,17,21.6
202,ხაიში,1955,7,21,20,25.5,16,0
203,ხაიში,1955,7,22,18.3,23.7,14.5,0
204,ხაიში,1955,7,23,19.6,24.9,16.5,0.3
205,ხაიში,1955,7,24,20.2,27,16,17.1
206,ხაიში,1955,7,25,22.1,31.6,15.3,0
207,ხაიში,1955,7,26,20.5,27.2,17,9.5
208,ხაიში,1955,7,27,19.2,24.7,16.4,14.5
209,ხაიში,1955,7,28,20.9,28.2,14.9,0
210,ხაიში,1955,7,29,18.4,24.7,15,0
211,ხაიში,1955,7,30,19.7,27.4,15.6,20.8
212,ხაიში,1955,7,31,20.4,31.2,14.3,2.8
