ID,Station,year,month,day,T_mean,T_max,T_min,Prec(mm)
1,ლებარდე,1936,1,1,-99.99,-99.99,-99.99,-99.99
2,ლებარდე,1936,1,2,-99.99,-99.99,-99.99,-99.99
3,ლებარდე,1936,1,3,-99.99,-99.99,-99.99,-99.99
4,ლებარდე,1936,1,4,-99.99,-99.99,-99.99,-99.99
5,ლებარდე,1936,1,5,-99.99,-99.99,-99.99,-99.99
6,ლებარდე,1936,1,6,-99.99,-99.99,-99.99,-99.99
7,ლებარდე,1936,1,7,-99.99,-99.99,-99.99,-99.99
8,ლებარდე,1936,1,8,-99.99,-99.99,-99.99,-99.99
9,ლებარდე,1936,1,9,-99.99,-99.99,-99.99,-99.99
10,ლებარდე,1936,1,10,-99.99,-99.99,-99.99,-99.99
11,ლებარდე,1936,1,11,-99.99,-99.99,-99.99,-99.99
12,ლებარდე,1936,1,12,-99.99,-99.99,-99.99,-99.99
13,ლებარდე,1936,1,13,-99.99,-99.99,-99.99,-99.99
14,ლებარდე,1936,1,14,-99.99,-99.99,-99.99,-99.99
15,ლებარდე,1936,1,15,-99.99,-99.99,-99.99,-99.99
16,ლებარდე,1936,1,16,-99.99,-99.99,-99.99,-99.99
17,ლებარდე,1936,1,17,-99.99,-99.99,-99.99,-99.99
18,ლებარდე,1936,1,18,-99.99,-99.99,-99.99,-99.99
19,ლებარდე,1936,1,19,-99.99,-99.99,-99.99,-99.99
20,ლებარდე,1936,1,20,-99.99,-99.99,-99.99,-99.99
21,ლებარდე,1936,1,21,-99.99,-99.99,-99.99,-99.99
22,ლებარდე,1936,1,22,-99.99,-99.99,-99.99,-99.99
23,ლებარდე,1936,1,23,-99.99,-99.99,-99.99,-99.99
24,ლებარდე,1936,1,24,-99.99,-99.99,-99.99,-99.99
25,ლებარდე,1936,1,25,-99.99,-99.99,-99.99,-99.99
26,ლებარდე,1936,1,26,-99.99,-99.99,-99.99,-99.99
27,ლებარდე,1936,1,27,-99.99,-99.99,-99.99,-99.99
28,ლებარდე,1936,1,28,-99.99,-99.99,-99.99,-99.99
29,ლებარდე,1936,1,29,-99.99,-99.99,-99.99,-99.99
30,ლებარდე,1936,1,30,-99.99,-99.99,-99.99,-99.99
31,ლებარდე,1936,1,31,-99.99,-99.99,-99.99,-99.99
32,ლებარდე,1936,2,1,-99.99,-99.99,-99.99,-99.99
33,ლებარდე,1936,2,2,-99.99,-99.99,-99.99,-99.99
34,ლებარდე,1936,2,3,-99.99,-99.99,-99.99,-99.99
35,ლებარდე,1936,2,4,-99.99,-99.99,-99.99,-99.99
36,ლებარდე,1936,2,5,-99.99,-99.99,-99.99,-99.99
37,ლებარდე,1936,2,6,-99.99,-99.99,-99.99,-99.99
38,ლებარდე,1936,2,7,-99.99,-99.99,-99.99,-99.99
39,ლებარდე,1936,2,8,-99.99,-99.99,-99.99,-99.99
40,ლებარდე,1936,2,9,-99.99,-99.99,-99.99,-99.99
41,ლებარდე,1936,2,10,-99.99,-99.99,-99.99,-99.99
42,ლებარდე,1936,2,11,-99.99,-99.99,-99.99,-99.99
43,ლებარდე,1936,2,12,-99.99,-99.99,-99.99,-99.99
44,ლებარდე,1936,2,13,-99.99,-99.99,-99.99,-99.99
45,ლებარდე,1936,2,14,-99.99,-99.99,-99.99,-99.99
46,ლებარდე,1936,2,15,-99.99,-99.99,-99.99,-99.99
47,ლებარდე,1936,2,16,-99.99,-99.99,-99.99,-99.99
48,ლებარდე,1936,2,17,-99.99,-99.99,-99.99,-99.99
49,ლებარდე,1936,2,18,-99.99,-99.99,-99.99,-99.99
50,ლებარდე,1936,2,19,-99.99,-99.99,-99.99,-99.99
51,ლებარდე,1936,2,20,-99.99,-99.99,-99.99,-99.99
52,ლებარდე,1936,2,21,-99.99,-99.99,-99.99,-99.99
53,ლებარდე,1936,2,22,-99.99,-99.99,-99.99,-99.99
54,ლებარდე,1936,2,23,-99.99,-99.99,-99.99,-99.99
55,ლებარდე,1936,2,24,-99.99,-99.99,-99.99,-99.99
56,ლებარდე,1936,2,25,-99.99,-99.99,-99.99,-99.99
57,ლებარდე,1936,2,26,-99.99,-99.99,-99.99,-99.99
58,ლებარდე,1936,2,27,-99.99,-99.99,-99.99,-99.99
59,ლებარდე,1936,2,28,-99.99,-99.99,-99.99,-99.99
60,ლებარდე,1936,2,29,-99.99,-99.99,-99.99,-99.99
61,ლებარდე,1936,3,1,-99.99,-99.99,-99.99,-99.99
62,ლებარდე,1936,3,2,-99.99,-99.99,-99.99,-99.99
63,ლებარდე,1936,3,3,-99.99,-99.99,-99.99,-99.99
64,ლებარდე,1936,3,4,-99.99,-99.99,-99.99,-99.99
65,ლებარდე,1936,3,5,-99.99,-99.99,-99.99,-99.99
66,ლებარდე,1936,3,6,-99.99,-99.99,-99.99,-99.99
67,ლებარდე,1936,3,7,-99.99,-99.99,-99.99,-99.99
68,ლებარდე,1936,3,8,-99.99,-99.99,-99.99,-99.99
69,ლებარდე,1936,3,9,-99.99,-99.99,-99.99,-99.99
70,ლებარდე,1936,3,10,-99.99,-99.99,-99.99,-99.99
71,ლებარდე,1936,3,11,-99.99,-99.99,-99.99,-99.99
72,ლებარდე,1936,3,12,-99.99,-99.99,-99.99,-99.99
73,ლებარდე,1936,3,13,-99.99,-99.99,-99.99,-99.99
74,ლებარდე,1936,3,14,-99.99,-99.99,-99.99,-99.99
75,ლებარდე,1936,3,15,-99.99,-99.99,-99.99,-99.99
76,ლებარდე,1936,3,16,-99.99,-99.99,-99.99,-99.99
77,ლებარდე,1936,3,17,-99.99,-99.99,-99.99,-99.99
78,ლებარდე,1936,3,18,-99.99,-99.99,-99.99,-99.99
79,ლებარდე,1936,3,19,-99.99,-99.99,-99.99,-99.99
80,ლებარდე,1936,3,20,-99.99,-99.99,-99.99,-99.99
81,ლებარდე,1936,3,21,-99.99,-99.99,-99.99,-99.99
82,ლებარდე,1936,3,22,-99.99,-99.99,-99.99,-99.99
83,ლებარდე,1936,3,23,-99.99,-99.99,-99.99,-99.99
84,ლებარდე,1936,3,24,-99.99,-99.99,-99.99,-99.99
85,ლებარდე,1936,3,25,-99.99,-99.99,-99.99,-99.99
86,ლებარდე,1936,3,26,-99.99,-99.99,-99.99,-99.99
