ID,Station,year,month,day,T_mean,T_max,T_min,Prec(mm)
1,ლენტეხი,1955,1,1,3.4,9.7,1.4,1
2,ლენტეხი,1955,1,2,3,6.4,0.9,0
3,ლენტეხი,1955,1,3,3.5,6.1,1.9,0
4,ლენტეხი,1955,1,4,1.6,4,-2.1,0
5,ლენტეხი,1955,1,5,2,4.2,0.3,0
6,ლენტეხი,1955,1,6,2,6,-0.5,0
7,ლენტეხი,1955,1,7,1.1,3,0,3.2
8,ლენტეხი,1955,1,8,1.1,3.8,-0.3,3.5
9,ლენტეხი,1955,1,9,0,4,-2.1,0
10,ლენტეხი,1955,1,10,2.1,7.9,-1.9,0
11,ლენტეხი,1955,1,11,3.4,9.6,-0.5,0
12,ლენტეხი,1955,1,12,5.4,10.1,2.4,0
13,ლენტეხი,1955,1,13,6.3,11.1,3.9,0
14,ლენტეხი,1955,1,14,5,7.6,3.7,2.1
15,ლენტეხი,1955,1,15,6.1,12.4,2.9,0
16,ლენტეხი,1955,1,16,4.6,6.4,2.4,15
17,ლენტეხი,1955,1,17,0.7,4.1,-1.8,0
18,ლენტეხი,1955,1,18,2.3,9.1,-2.1,0
19,ლენტეხი,1955,1,19,2.8,10,-1.1,0
20,ლენტეხი,1955,1,20,3.1,10.1,-1.6,0
21,ლენტეხი,1955,1,21,2.2,9.6,-2.4,0
22,ლენტეხი,1955,1,22,1.8,8.4,-3.3,0
23,ლენტეხი,1955,1,23,2.5,10.6,-2.3,0
24,ლენტეხი,1955,1,24,5,8.9,2.2,1
25,ლენტეხი,1955,1,25,1.9,5.2,-1.1,6.4
26,ლენტეხი,1955,1,26,0.1,1,-1.1,0
27,ლენტეხი,1955,1,27,0.5,2.2,-1.2,0
28,ლენტეხი,1955,1,28,-0.4,7.1,-5.2,0
29,ლენტეხი,1955,1,29,0.5,8.6,-4.1,0
30,ლენტეხი,1955,1,30,0.1,8.2,-5.1,0
31,ლენტეხი,1955,1,31,-0.3,7.6,-5.1,0
32,ლენტეხი,1955,2,1,1,10.6,-4.1,0
33,ლენტეხი,1955,2,2,1.3,9.7,-3.7,0
34,ლენტეხი,1955,2,3,1.7,10.1,-3.8,0
35,ლენტეხი,1955,2,4,5.4,12.1,1.1,0
36,ლენტეხი,1955,2,5,5.7,12.3,1.4,0
37,ლენტეხი,1955,2,6,4.2,12.6,-1.3,0
38,ლენტეხი,1955,2,7,4.4,9.1,0.9,0.8
39,ლენტეხი,1955,2,8,5.6,11.6,2.9,0
40,ლენტეხი,1955,2,9,4.4,14.7,-1.1,0
41,ლენტეხი,1955,2,10,5.4,15.5,-0.1,0
42,ლენტეხი,1955,2,11,3.8,5.2,1.4,1.6
43,ლენტეხი,1955,2,12,1.5,3.8,0.4,6.4
44,ლენტეხი,1955,2,13,1.4,5,-0.6,8.3
45,ლენტეხი,1955,2,14,1.6,4.3,0,32
46,ლენტეხი,1955,2,15,2.5,4.5,0.4,17.7
47,ლენტეხი,1955,2,16,2.1,3.5,0.5,17.5
48,ლენტეხი,1955,2,17,1,7.2,-1.3,0
49,ლენტეხი,1955,2,18,3.1,7.4,0,0
50,ლენტეხი,1955,2,19,5.5,11.6,2.7,2.1
51,ლენტეხი,1955,2,20,4.9,7.2,3.4,12.2
52,ლენტეხი,1955,2,21,5.9,14.2,1.3,0
53,ლენტეხი,1955,2,22,5.7,15.6,1.1,3.6
54,ლენტეხი,1955,2,23,0.7,3,-0.4,1.9
55,ლენტეხი,1955,2,24,0.6,4,-2.6,0.9
56,ლენტეხი,1955,2,25,0.9,5.2,-2.1,2.5
57,ლენტეხი,1955,2,26,2.4,4.2,0.2,10.5
58,ლენტეხი,1955,2,27,6.1,11,2.9,4.5
59,ლენტეხი,1955,2,28,4.9,6.5,3.8,4.7
60,ლენტეხი,1955,3,1,4.2,10.4,-1,0
61,ლენტეხი,1955,3,2,7.1,11.2,4.2,1.6
62,ლენტეხი,1955,3,3,2.9,8.3,0.9,24.9
63,ლენტეხი,1955,3,4,-0.8,2.1,-4.9,16
64,ლენტეხი,1955,3,5,-0.8,3.5,-5.1,1.1
65,ლენტეხი,1955,3,6,4.1,9,0.2,4.6
66,ლენტეხი,1955,3,7,2.8,6.1,1.5,14.8
67,ლენტეხი,1955,3,8,3.8,10.1,0.6,0
68,ლენტეხი,1955,3,9,4,13.6,-2,0
69,ლენტეხი,1955,3,10,3,11.1,-2.3,0
70,ლენტეხი,1955,3,11,3.4,12.1,-2.7,0
71,ლენტეხი,1955,3,12,4.5,7.6,1.8,0
72,ლენტეხი,1955,3,13,4.4,7.9,2.8,0
73,ლენტეხი,1955,3,14,4.7,10.1,1.9,0
74,ლენტეხი,1955,3,15,4.3,10.2,-1.6,0.9
75,ლენტეხი,1955,3,16,3.6,6.1,0.9,5.6
76,ლენტეხი,1955,3,17,4.6,8.6,1.4,0
77,ლენტეხი,1955,3,18,6.2,13.3,-0.6,0
78,ლენტეხი,1955,3,19,7.8,12.6,4.9,0
79,ლენტეხი,1955,3,20,6.8,13.6,0.3,3.9
80,ლენტეხი,1955,3,21,8.2,16.6,0.8,0
81,ლენტეხი,1955,3,22,7.7,17.6,0.2,1.5
82,ლენტეხი,1955,3,23,7.8,15.1,2.4,0
83,ლენტეხი,1955,3,24,7.1,14.3,0.8,0
84,ლენტეხი,1955,3,25,6.5,10.2,4.4,0
85,ლენტეხი,1955,3,26,7.6,15.4,2.4,0
86,ლენტეხი,1955,3,27,7,16.4,0,0
87,ლენტეხი,1955,3,28,8.9,17.6,0.4,0
88,ლენტეხი,1955,3,29,8.6,13.7,6.3,5.2
89,ლენტეხი,1955,3,30,7.6,11.1,5.4,14.5
90,ლენტეხი,1955,3,31,6.6,9.6,3.4,36
91,ლენტეხი,1955,4,1,9.9,18.1,3.3,0.4
92,ლენტეხი,1955,4,2,14.8,23.9,7.8,0
93,ლენტეხი,1955,4,3,11.1,18.2,6.3,0
94,ლენტეხი,1955,4,4,10.8,13.6,8.8,9.5
95,ლენტეხი,1955,4,5,9.4,12.6,7.8,42.8
96,ლენტეხი,1955,4,6,10.9,18.4,6,0
97,ლენტეხი,1955,4,7,7.7,11.7,6.7,31.1
98,ლენტეხი,1955,4,8,8.7,17.6,4.5,4
99,ლენტეხი,1955,4,9,5.4,9.1,4,17.3
100,ლენტეხი,1955,4,10,4.5,6.6,2.8,1.3
101,ლენტეხი,1955,4,11,6.1,12.1,3.2,0
102,ლენტეხი,1955,4,12,8,17.7,0.1,0
103,ლენტეხი,1955,4,13,9.8,18.4,3.7,0
104,ლენტეხი,1955,4,14,7.9,13.3,3.8,1
105,ლენტეხი,1955,4,15,12.6,21,6.3,0
106,ლენტეხი,1955,4,16,12.2,21.6,5.3,0
107,ლენტეხი,1955,4,17,14.7,22.3,9.3,0
108,ლენტეხი,1955,4,18,13.6,20.3,8.9,1.2
109,ლენტეხი,1955,4,19,9.7,16.7,7.8,2.8
110,ლენტეხი,1955,4,20,10.5,18.6,5.2,0.7
111,ლენტეხი,1955,4,21,10.2,15.6,8.3,1
112,ლენტეხი,1955,4,22,3.8,8.6,2.2,7.4
113,ლენტეხი,1955,4,23,5.4,12.1,1.7,0
114,ლენტეხი,1955,4,24,8.7,17.7,0.4,0
115,ლენტეხი,1955,4,25,10.9,18.3,7.6,1.3
116,ლენტეხი,1955,4,26,14,24.6,5,0
117,ლენტეხი,1955,4,27,9.6,15.1,8,8.9
118,ლენტეხი,1955,4,28,7.6,9.1,6.6,10.4
119,ლენტეხი,1955,4,29,6.4,9.2,5.2,6.9
120,ლენტეხი,1955,4,30,7.9,15,5.1,0.8
121,ლენტეხი,1955,5,1,8.1,10.6,6.8,16.9
122,ლენტეხი,1955,5,2,11.1,17.7,6.3,0
123,ლენტეხი,1955,5,3,9.6,11.4,8.8,8.2
124,ლენტეხი,1955,5,4,12.7,20.3,6.8,0
125,ლენტეხი,1955,5,5,11.6,17.3,6.8,2.5
126,ლენტეხი,1955,5,6,11.5,14.6,9.9,0
127,ლენტეხი,1955,5,7,12.3,15.7,9.3,0
128,ლენტეხი,1955,5,8,16.1,23.6,7.9,0
129,ლენტეხი,1955,5,9,16.7,25,7.4,0
130,ლენტეხი,1955,5,10,12.6,17.6,10,0
131,ლენტეხი,1955,5,11,16.5,24.2,8.8,0
