ID,Station,year,month,day,T_mean,T_max,T_min,Prec(mm)
1,მამისონის_უღელტეხილი,1957,1,1,-17.8,-15.7,-18.7,0
2,მამისონის_უღელტეხილი,1957,1,2,-18,-15.9,-18.9,0
3,მამისონის_უღელტეხილი,1957,1,3,-19.4,-10.6,-20.5,0
4,მამისონის_უღელტეხილი,1957,1,4,-21.2,-16.9,-22.9,0
5,მამისონის_უღელტეხილი,1957,1,5,-19,-16.1,-23.7,0.3
6,მამისონის_უღელტეხილი,1957,1,6,-15.6,-12.5,-17.3,0.3
7,მამისონის_უღელტეხილი,1957,1,7,-15.4,-10.7,-17.5,0
8,მამისონის_უღელტეხილი,1957,1,8,-14.9,-11,-18.5,0
9,მამისონის_უღელტეხილი,1957,1,9,-15.2,-12.6,-17.3,0
10,მამისონის_უღელტეხილი,1957,1,10,-16.4,-13.9,-18.4,3.5
11,მამისონის_უღელტეხილი,1957,1,11,-10.2,-7,-15.1,0
12,მამისონის_უღელტეხილი,1957,1,12,-14.6,-11,-16.4,0.2
13,მამისონის_უღელტეხილი,1957,1,13,-14.4,-11.5,-18.3,1.6
14,მამისონის_უღელტეხილი,1957,1,14,-10.3,-8.8,-14.1,1.6
15,მამისონის_უღელტეხილი,1957,1,15,-10,-8.9,-11,3
16,მამისონის_უღელტეხილი,1957,1,16,-9.8,-8.7,-10.8,2.7
17,მამისონის_უღელტეხილი,1957,1,17,-12,-9.2,-15.1,3
18,მამისონის_უღელტეხილი,1957,1,18,-15.1,-13.1,-17.3,3
19,მამისონის_უღელტეხილი,1957,1,19,-19.7,-16.3,-22.2,3
20,მამისონის_უღელტეხილი,1957,1,20,-20,-17.2,-21.8,0
21,მამისონის_უღელტეხილი,1957,1,21,-20.2,-17.8,-21.7,1.9
22,მამისონის_უღელტეხილი,1957,1,22,-11.9,-6.8,-21.6,13.7
23,მამისონის_უღელტეხილი,1957,1,23,-8.1,-4.9,-9.1,11.5
24,მამისონის_უღელტეხილი,1957,1,24,-6.6,-3,-8.9,0
25,მამისონის_უღელტეხილი,1957,1,25,-7,-4.4,-9.1,0.1
26,მამისონის_უღელტეხილი,1957,1,26,-9.3,-8,-10.3,2.3
27,მამისონის_უღელტეხილი,1957,1,27,-10.5,-8.2,-11.6,0.9
28,მამისონის_უღელტეხილი,1957,1,28,-12.2,-10.5,-13.5,2.4
29,მამისონის_უღელტეხილი,1957,1,29,-14.3,-8.7,-16.5,0.1
30,მამისონის_უღელტეხილი,1957,1,30,-14.5,-12,-16.4,0.7
31,მამისონის_უღელტეხილი,1957,1,31,-12.9,-10.5,-14.6,3.4
32,მამისონის_უღელტეხილი,1957,2,1,-12.8,-9.7,-13.8,2.7
33,მამისონის_უღელტეხილი,1957,2,2,-13,-10.1,-15.1,1.6
34,მამისონის_უღელტეხილი,1957,2,3,-14.1,-12.6,-15.1,0.05
35,მამისონის_უღელტეხილი,1957,2,4,-15.8,-13.6,-17.3,4.1
36,მამისონის_უღელტეხილი,1957,2,5,-18.2,-15.4,-20.7,5.8
37,მამისონის_უღელტეხილი,1957,2,6,-16.6,-13.5,-18.1,1.2
38,მამისონის_უღელტეხილი,1957,2,7,-8.4,-1.5,-17.3,0.3
39,მამისონის_უღელტეხილი,1957,2,8,-6.8,-4.5,-9.5,0
40,მამისონის_უღელტეხილი,1957,2,9,-8.8,-7.2,-11.1,0
41,მამისონის_უღელტეხილი,1957,2,10,-7,-5,-8.6,0
42,მამისონის_უღელტეხილი,1957,2,11,-10.2,-6.2,-11.4,0.5
43,მამისონის_უღელტეხილი,1957,2,12,-12,-10,-13.5,0
44,მამისონის_უღელტეხილი,1957,2,13,-9.9,-7,-12.6,1
45,მამისონის_უღელტეხილი,1957,2,14,-9.8,-7.5,-10.9,0.6
46,მამისონის_უღელტეხილი,1957,2,15,-11,-7.4,-13.6,0.7
47,მამისონის_უღელტეხილი,1957,2,16,-9,-3.2,-10.7,0
48,მამისონის_უღელტეხილი,1957,2,17,-6.5,-4,-9.5,0
49,მამისონის_უღელტეხილი,1957,2,18,-4.2,2.5,-7.2,0
50,მამისონის_უღელტეხილი,1957,2,19,-4.4,2.7,-6.3,0
51,მამისონის_უღელტეხილი,1957,2,20,-6.1,-3,-7.5,0
52,მამისონის_უღელტეხილი,1957,2,21,-8.5,-6.4,-11.6,0
53,მამისონის_უღელტეხილი,1957,2,22,-7.3,-5.6,-9.5,0
54,მამისონის_უღელტეხილი,1957,2,23,-6.5,-3,-8.6,1.2
55,მამისონის_უღელტეხილი,1957,2,24,-8.2,-6.5,-10.6,10.2
56,მამისონის_უღელტეხილი,1957,2,25,-5.9,-3,-8.6,12.3
57,მამისონის_უღელტეხილი,1957,2,26,-5,-2.7,-9.1,26.5
58,მამისონის_უღელტეხილი,1957,2,27,-7.6,-5.4,-9.5,0.1
59,მამისონის_უღელტეხილი,1957,2,28,-12.4,-7.9,-13.9,5.7
60,მამისონის_უღელტეხილი,1957,3,1,-11.6,-6,-16.1,0.2
61,მამისონის_უღელტეხილი,1957,3,2,-4.4,-2.8,-8,15.5
62,მამისონის_უღელტეხილი,1957,3,3,-3.2,-1.5,-3.9,12.2
63,მამისონის_უღელტეხილი,1957,3,4,-3.2,-1.2,-4.5,22.2
64,მამისონის_უღელტეხილი,1957,3,5,-4.3,-2.6,-5.3,10.9
65,მამისონის_უღელტეხილი,1957,3,6,-6,-2.9,-7.6,12.2
66,მამისონის_უღელტეხილი,1957,3,7,-11.7,-5.5,-15.2,6.3
67,მამისონის_უღელტეხილი,1957,3,8,-15.4,-12.9,-17.2,3
68,მამისონის_უღელტეხილი,1957,3,9,-11.3,-10,-15.5,2.7
69,მამისონის_უღელტეხილი,1957,3,10,-11.4,-9.5,-12.6,2.1
70,მამისონის_უღელტეხილი,1957,3,11,-13,-9.9,-15.5,0.2
71,მამისონის_უღელტეხილი,1957,3,12,-11.5,-5.1,-14.1,1.6
72,მამისონის_უღელტეხილი,1957,3,13,-12.6,-9.3,-14.3,0.8
73,მამისონის_უღელტეხილი,1957,3,14,-11.8,-9.5,-15.2,0.3
74,მამისონის_უღელტეხილი,1957,3,15,-13.2,-10.9,-14.8,1.1
75,მამისონის_უღელტეხილი,1957,3,16,-11,-8.5,-14.6,0.5
76,მამისონის_უღელტეხილი,1957,3,17,-9.6,-7.6,-13.1,1.5
77,მამისონის_უღელტეხილი,1957,3,18,-15.1,-12.2,-17.7,0.1
78,მამისონის_უღელტეხილი,1957,3,19,-6.6,-4.4,-13.3,1.9
79,მამისონის_უღელტეხილი,1957,3,20,-6.8,-5.5,-7.8,0.6
80,მამისონის_უღელტეხილი,1957,3,21,-6.4,-4.2,-10.5,3.8
81,მამისონის_უღელტეხილი,1957,3,22,-6.4,-2,-9.1,0
82,მამისონის_უღელტეხილი,1957,3,23,-2.9,-0.2,-5.4,0
83,მამისონის_უღელტეხილი,1957,3,24,-2.9,0.2,-4.5,0.3
84,მამისონის_უღელტეხილი,1957,3,25,-8.3,-3.5,-11.2,2.4
