ID,Station,year,month,day,T_mean,T_max,T_min,Prec(mm)
1,მესტია,1959,1,1,-6.6,-3.3,-10.1,1.7
2,მესტია,1959,1,2,-9.2,-3.5,-17.7,0
3,მესტია,1959,1,3,-6,-0.1,-11.9,0
4,მესტია,1959,1,4,-3.9,1.5,-8,0
5,მესტია,1959,1,5,-3.6,4.9,-10.2,0
6,მესტია,1959,1,6,-0.4,6.5,-4.2,0
7,მესტია,1959,1,7,1.2,6.5,-4.7,2
8,მესტია,1959,1,8,0.7,4,-1.3,14.1
9,მესტია,1959,1,9,-1.7,2.2,-4.2,3.1
10,მესტია,1959,1,10,-5.1,1.5,-11,0
11,მესტია,1959,1,11,-4.3,4.5,-10.7,0
12,მესტია,1959,1,12,-1.6,1.4,-4.9,3.6
13,მესტია,1959,1,13,-5.8,0.7,-13.1,2.2
14,მესტია,1959,1,14,-2.8,2.1,-9.2,0
15,მესტია,1959,1,15,-0.4,3,-2.2,6.4
16,მესტია,1959,1,16,-2.5,0.6,-7.2,0.7
17,მესტია,1959,1,17,-5.2,-0.4,-10.9,0
18,მესტია,1959,1,18,-1.4,1,-4.5,3.8
19,მესტია,1959,1,19,-1.4,0.2,-3.2,13
20,მესტია,1959,1,20,-3.5,-1.2,-5.1,4.6
21,მესტია,1959,1,21,-10,0.4,-17.4,0
22,მესტია,1959,1,22,-10.5,1.5,-17.6,0
23,მესტია,1959,1,23,-8.6,1.7,-15.6,0
24,მესტია,1959,1,24,-6.2,4.6,-12.7,0
25,მესტია,1959,1,25,-2.7,3.6,-10.6,0
26,მესტია,1959,1,26,-1.9,4.1,-8,0
27,მესტია,1959,1,27,-2.2,5.3,-8.7,0
28,მესტია,1959,1,28,-0.7,6.4,-6.7,0
29,მესტია,1959,1,29,2.2,8.6,-4.8,0
30,მესტია,1959,1,30,0.8,6.4,-0.8,3.4
31,მესტია,1959,1,31,-0.7,1,-3.3,9.3
32,მესტია,1959,2,1,-3.8,-0.5,-8,0.3
33,მესტია,1959,2,2,-5.1,-1.2,-9.3,0.7
34,მესტია,1959,2,3,-6.7,-3,-12.3,0.05
35,მესტია,1959,2,4,-7.9,-4.7,-10.3,2.5
36,მესტია,1959,2,5,-8.9,4.6,-17.8,0.9
37,მესტია,1959,2,6,-8.3,-5.6,-10,13.2
38,მესტია,1959,2,7,-14.1,-7.1,-22.9,0
39,მესტია,1959,2,8,-13.6,-4.9,-21.3,0
40,მესტია,1959,2,9,-10.8,-7.4,-13.6,0.5
41,მესტია,1959,2,10,-10.8,-2.9,-15.4,0.1
42,მესტია,1959,2,11,-9.4,-6.3,-13,1.6
43,მესტია,1959,2,12,-9.6,-6.7,-14.1,0.8
44,მესტია,1959,2,13,-16,-4.6,-23.5,0
45,მესტია,1959,2,14,-13.8,-2,-23,0
46,მესტია,1959,2,15,-12.2,-4,-19.3,0.05
47,მესტია,1959,2,16,-9.5,-3.6,-15.8,0
48,მესტია,1959,2,17,-8.6,-4.9,-10.5,2.9
49,მესტია,1959,2,18,-8.7,-6.1,-11.9,2.6
50,მესტია,1959,2,19,-9.8,-5.5,-12.6,0.7
51,მესტია,1959,2,20,-10.5,-5,-13.4,1.6
52,მესტია,1959,2,21,-11.2,-5,-17.5,0.4
53,მესტია,1959,2,22,-9.1,-6.4,-15.1,1.8
54,მესტია,1959,2,23,-4.7,-3.2,-7.9,4.3
55,მესტია,1959,2,24,-6.9,-3.3,-8.7,5.8
56,მესტია,1959,2,25,-8.7,-3.5,-15.1,2.6
57,მესტია,1959,2,26,-8.9,-4.5,-11.2,3.3
58,მესტია,1959,2,27,-10.5,-1.1,-17.8,0
59,მესტია,1959,2,28,-6.7,-2.5,-9.2,1.3
60,მესტია,1959,3,1,-7.1,4,-15.6,2
61,მესტია,1959,3,2,-5.3,-1,-10.7,0.5
62,მესტია,1959,3,3,-6.2,3,-13,0.1
63,მესტია,1959,3,4,-6.3,3.3,-12.8,0.05
64,მესტია,1959,3,5,-5.5,1.3,-13.2,0.5
65,მესტია,1959,3,6,-6.6,3.2,-15.7,0.05
66,მესტია,1959,3,7,-4.4,-0.5,-8.7,0.5
