ID,Station,year,month,day,T_mean,T_max,T_min,Prec(mm)
1,შოვი,1936,1,1,-5.9,2.1,-12,0
2,შოვი,1936,1,2,-4.4,3.9,-9.2,0
3,შოვი,1936,1,3,-6.8,2,-11.8,0
4,შოვი,1936,1,4,-7.2,2.9,-12.7,0
5,შოვი,1936,1,5,-7.3,3.6,-13.5,0
6,შოვი,1936,1,6,-6.9,4.4,-13.7,0
7,შოვი,1936,1,7,-6.9,3.4,-13.6,0
8,შოვი,1936,1,8,-6,2.1,-13,0
9,შოვი,1936,1,9,-6.9,3.4,-13.7,0
10,შოვი,1936,1,10,-5,4.1,-14.2,0
11,შოვი,1936,1,11,-1.8,1.6,-5.1,0
12,შოვი,1936,1,12,-2.7,0.6,-5.3,0
13,შოვი,1936,1,13,-5.1,-1.9,-8,3.5
14,შოვი,1936,1,14,-7.1,-3.2,-9.6,2.6
15,შოვი,1936,1,15,-6.3,-1.4,-12,2.8
16,შოვი,1936,1,16,-7.4,-1.6,-12,0
17,შოვი,1936,1,17,-6.6,-0.5,-16.7,0.2
18,შოვი,1936,1,18,-1.2,2.2,-5.6,0
19,შოვი,1936,1,19,-3.6,7.5,-8.3,0
20,შოვი,1936,1,20,4.3,7.5,-1.5,0
21,შოვი,1936,1,21,-4.2,7.2,-11,0
22,შოვი,1936,1,22,-5.1,6.2,-11.7,0
23,შოვი,1936,1,23,-4.2,5.7,-12,0
24,შოვი,1936,1,24,-2.3,7.2,-12.6,2.5
25,შოვი,1936,1,25,-4.6,-0.6,-6.5,0.7
26,შოვი,1936,1,26,-7.2,-2.4,-15.6,0.5
27,შოვი,1936,1,27,-4,3.74,-12.5,0.3
28,შოვი,1936,1,28,-1.5,7.3,-5.9,0
29,შოვი,1936,1,29,1.6,6.5,-5.9,0.1
30,შოვი,1936,1,30,1,2.5,-0.4,5
31,შოვი,1936,1,31,-2.7,0.5,-4.8,0.2
32,შოვი,1936,2,1,-5.2,0.6,-13.8,0
33,შოვი,1936,2,2,-1.8,5.2,-9.6,0
34,შოვი,1936,2,3,-1.3,8,-7.8,0
35,შოვი,1936,2,4,0.1,10.7,-7.6,0
36,შოვი,1936,2,5,2.4,12.2,-4.2,0
37,შოვი,1936,2,6,0.5,10.1,-6.4,0
38,შოვი,1936,2,7,1.8,6.9,-1.4,4.2
39,შოვი,1936,2,8,0.4,2.9,-0.6,3.9
40,შოვი,1936,2,9,-0.8,1.1,-1.7,14.5
41,შოვი,1936,2,10,-2.2,0.9,-3.4,0.5
42,შოვი,1936,2,11,-2.7,2.6,-5.5,0.1
43,შოვი,1936,2,12,-2.2,-0.9,-11.3,12
44,შოვი,1936,2,13,-3.7,-0.1,-6.6,1.5
45,შოვი,1936,2,14,-5.9,-5.6,-10.3,4.7
46,შოვი,1936,2,15,-6.5,-1.4,-10.1,3.5
47,შოვი,1936,2,16,-8.9,-8.4,-13.4,0.4
48,შოვი,1936,2,17,-7.4,-5.1,-17.6,0.7
49,შოვი,1936,2,18,-3.1,-1.4,-7.1,0.7
50,შოვი,1936,2,19,-1.4,2.6,-5.2,12.5
51,შოვი,1936,2,20,-1.5,3.6,-6,0.6
52,შოვი,1936,2,21,-0.6,6.2,-8.7,0
53,შოვი,1936,2,22,0.9,6.7,-5,0
54,შოვი,1936,2,23,-0.8,5.7,-5.1,0
55,შოვი,1936,2,24,-3.5,5.2,-10.6,0
56,შოვი,1936,2,25,-4.3,5.5,-13.5,0
57,შოვი,1936,2,26,-3,4.4,-12.7,0.4
58,შოვი,1936,2,27,-1.4,1.6,-5.6,0.4
59,შოვი,1936,2,28,-2,6.2,-8.1,0
60,შოვი,1936,2,29,-1.5,5.8,-11.6,0
61,შოვი,1936,3,1,2,10.5,-3.5,0
62,შოვი,1936,3,2,-0.4,7.7,-6.2,0
63,შოვი,1936,3,3,0.4,11.7,-8.1,0
64,შოვი,1936,3,4,0.8,9.7,-7.8,0
65,შოვი,1936,3,5,-1,8.1,-7.5,0
66,შოვი,1936,3,6,-2.8,8.6,-10.1,0
67,შოვი,1936,3,7,-4.6,5.5,-12.3,0
68,შოვი,1936,3,8,-2.7,8.1,-11.8,0
69,შოვი,1936,3,9,-2.9,4.9,-10.2,0
70,შოვი,1936,3,10,-2.6,5.9,-8.2,0
71,შოვი,1936,3,11,-1.9,4.1,-9.1,0.6
