ID,Station,year,month,day,T_mean,T_max,T_min,Prec(mm)
1,ცაგერი,1957,1,1,-1.6,2.6,-5,0
2,ცაგერი,1957,1,2,-2.3,3,-5.9,2.2
3,ცაგერი,1957,1,3,-3.1,0.7,-5.4,0.3
4,ცაგერი,1957,1,4,-4.7,1.4,-11.6,0.3
5,ცაგერი,1957,1,5,-5.3,-1,-9.1,0
6,ცაგერი,1957,1,6,-2.3,0.9,-3.5,0.3
7,ცაგერი,1957,1,7,-3.6,1.9,-8.4,1.7
8,ცაგერი,1957,1,8,-3.1,0.7,-3.9,0
9,ცაგერი,1957,1,9,-1.8,0.7,-3.9,1
10,ცაგერი,1957,1,10,-2.1,4.4,-6.9,0
11,ცაგერი,1957,1,11,-3.4,4.2,-9.4,0
12,ცაგერი,1957,1,12,-2.9,1.7,-7,0
13,ცაგერი,1957,1,13,-0.1,3.9,-1.9,4.7
14,ცაგერი,1957,1,14,0.3,2.9,-2.3,3.9
15,ცაგერი,1957,1,15,1.4,4.6,-0.7,3.6
16,ცაგერი,1957,1,16,0.6,3,-0.6,20.5
17,ცაგერი,1957,1,17,0.6,2.2,-1,20.5
18,ცაგერი,1957,1,18,0.1,1.7,-1.4,10.4
19,ცაგერი,1957,1,19,-2.7,0.5,-5.7,0.3
20,ცაგერი,1957,1,20,-5.4,0.9,-9.9,0
21,ცაგერი,1957,1,21,-2.6,4.4,-5.8,0.2
22,ცაგერი,1957,1,22,-6.3,-2.1,-9.4,0
23,ცაგერი,1957,1,23,-3.6,3.9,-7.5,0
24,ცაგერი,1957,1,24,-3.9,4.8,-10.6,0
25,ცაგერი,1957,1,25,-1.6,5.1,-6.9,0
26,ცაგერი,1957,1,26,2.5,7.6,0.2,5.5
27,ცაგერი,1957,1,27,2,4.9,-0.3,0.5
28,ცაგერი,1957,1,28,1.6,3.9,0.2,1.4
29,ცაგერი,1957,1,29,-1.3,8.4,-7.3,0
30,ცაგერი,1957,1,30,-1.5,3.3,-6.9,0
31,ცაგერი,1957,1,31,0,2.9,-2.2,0.9
32,ცაგერი,1957,2,1,1.5,4.6,-0.8,2.2
33,ცაგერი,1957,2,2,1.2,4.9,-2,0
34,ცაგერი,1957,2,3,1.2,2.6,-0.4,1.3
35,ცაგერი,1957,2,4,0.3,2,-0.8,2
36,ცაგერი,1957,2,5,-0.4,1.7,-2,0.6
37,ცაგერი,1957,2,6,-0.4,5.4,-3.5,0.9
38,ცაგერი,1957,2,7,-0.4,7.4,-5.6,0
39,ცაგერი,1957,2,8,0,9.9,-6.2,0
40,ცაგერი,1957,2,9,-0.1,10.6,-5.6,0
41,ცაგერი,1957,2,10,2,11.8,-4,0
42,ცაგერი,1957,2,11,2.1,6.9,-2.4,0
43,ცაგერი,1957,2,12,4.4,11.4,0.8,0.2
44,ცაგერი,1957,2,13,2.2,9.5,-2.3,0
45,ცაგერი,1957,2,14,4.7,9.6,-1.3,0.9
46,ცაგერი,1957,2,15,4.4,10.4,-1.9,0
47,ცაგერი,1957,2,16,5.6,13.4,1.9,0.3
48,ცაგერი,1957,2,17,5.8,16,0.1,0
49,ცაგერი,1957,2,18,5.6,14.9,-0.7,0
50,ცაგერი,1957,2,19,7,18.4,-1.1,0
