ID,Station,year,month,day,T_mean,T_max,T_min,Prec(mm)
1,ზუგდიდი,1936,1,1,2.2,11.6,-5,0
2,ზუგდიდი,1936,1,2,4.1,14.3,-2.7,0
3,ზუგდიდი,1936,1,3,3.3,13.4,-3.8,0
4,ზუგდიდი,1936,1,4,6.2,13.6,-3.6,0
5,ზუგდიდი,1936,1,5,6.5,11.8,1.3,0
6,ზუგდიდი,1936,1,6,6.6,10.9,0.2,0
7,ზუგდიდი,1936,1,7,4.4,8.9,1.9,4.3
8,ზუგდიდი,1936,1,8,4.9,7.9,2,0
9,ზუგდიდი,1936,1,9,4.2,12.1,-1.3,0
10,ზუგდიდი,1936,1,10,6.5,10.8,2.1,0
11,ზუგდიდი,1936,1,11,5.6,10.8,1.9,0
12,ზუგდიდი,1936,1,12,7.1,10.2,2.6,0
13,ზუგდიდი,1936,1,13,3.1,6.3,2,33.9
14,ზუგდიდი,1936,1,14,1.6,5.9,0.2,20.5
15,ზუგდიდი,1936,1,15,2.8,6.3,-0.8,0
16,ზუგდიდი,1936,1,16,4,7.5,-0.3,0
17,ზუგდიდი,1936,1,17,4.9,9,0.1,0.3
18,ზუგდიდი,1936,1,18,9.5,15.1,5.7,0
19,ზუგდიდი,1936,1,19,8.1,13.9,3.4,0
20,ზუგდიდი,1936,1,20,7.5,12.4,1.7,0
21,ზუგდიდი,1936,1,21,8.1,12.6,2.7,0
22,ზუგდიდი,1936,1,22,8,15,3.7,0
23,ზუგდიდი,1936,1,23,7.7,15.8,2.4,0
24,ზუგდიდი,1936,1,24,9.2,15.1,3.7,0
25,ზუგდიდი,1936,1,25,3.4,10,1.1,24
26,ზუგდიდი,1936,1,26,3.7,7.8,-0.7,0
27,ზუგდიდი,1936,1,27,7.5,10.4,2.3,0
28,ზუგდიდი,1936,1,28,9.9,15.9,3.7,0
29,ზუგდიდი,1936,1,29,13.3,17.6,10.5,0
30,ზუგდიდი,1936,1,30,11.6,16,8.9,10
31,ზუგდიდი,1936,1,31,6.3,9.2,3.3,6.4
32,ზუგდიდი,1936,2,1,5.6,11.2,1,0
33,ზუგდიდი,1936,2,2,9.5,12.2,4.1,0
34,ზუგდიდი,1936,2,3,9.6,18.1,5,0
35,ზუგდიდი,1936,2,4,11.4,19.4,2.5,0
36,ზუგდიდი,1936,2,5,13.2,19.6,2.5,0
37,ზუგდიდი,1936,2,6,13.5,18.6,4.5,0
38,ზუგდიდი,1936,2,7,12.6,14.1,4,0
39,ზუგდიდი,1936,2,8,10.7,14.6,2.9,8.1
40,ზუგდიდი,1936,2,9,8.4,11.8,6.2,17.4
41,ზუგდიდი,1936,2,10,6.3,8.6,4,5.5
42,ზუგდიდი,1936,2,11,6.6,8.8,3.5,3.9
43,ზუგდიდი,1936,2,12,12,14.2,5,0
44,ზუგდიდი,1936,2,13,3.2,14.7,0.5,16.6
45,ზუგდიდი,1936,2,14,0.5,5,-1.2,11.4
46,ზუგდიდი,1936,2,15,-0.7,0.5,-2.7,16
47,ზუგდიდი,1936,2,16,-1.7,0.5,-4.6,3.9
48,ზუგდიდი,1936,2,17,0.4,4.1,-3.6,0
49,ზუგდიდი,1936,2,18,2,3.5,1,3.7
50,ზუგდიდი,1936,2,19,6.6,10.8,2.2,4.5
51,ზუგდიდი,1936,2,20,5.2,10.6,2,5
52,ზუგდიდი,1936,2,21,12,17.3,2.5,0
53,ზუგდიდი,1936,2,22,8.4,12.8,5.1,0
54,ზუგდიდი,1936,2,23,6.4,10.2,3.7,0
55,ზუგდიდი,1936,2,24,6.4,12.6,1.5,0
56,ზუგდიდი,1936,2,25,9,13.3,4.1,0
57,ზუგდიდი,1936,2,26,7.7,10.2,1.6,0
58,ზუგდიდი,1936,2,27,7.8,12.8,2.2,0
59,ზუგდიდი,1936,2,28,7.4,12.7,2.3,0
60,ზუგდიდი,1936,2,29,7.8,12.6,4.2,0
61,ზუგდიდი,1936,3,1,9,15,3.4,0
62,ზუგდიდი,1936,3,2,10.9,15.9,2.5,0
63,ზუგდიდი,1936,3,3,11,16.7,2.9,0
64,ზუგდიდი,1936,3,4,10,16.7,4.5,0
65,ზუგდიდი,1936,3,5,7.6,16,1.4,0
66,ზუგდიდი,1936,3,6,11.2,17.2,5.2,0
67,ზუგდიდი,1936,3,7,11.2,15.5,2.8,0
68,ზუგდიდი,1936,3,8,10.4,15.7,4.5,0
69,ზუგდიდი,1936,3,9,11,16.8,3.6,0
70,ზუგდიდი,1936,3,10,8,23.5,1.4,0
71,ზუგდიდი,1936,3,11,7.9,13.5,3.4,0
72,ზუგდიდი,1936,3,12,9.3,13.4,2.9,0
