station_id,elevation_m,date,temp_c_mean,temp_c_min,temp_c_max,rh_pct_mean,rh_pct_min,rh_pct_max,dewpoint_c_mean,dewpoint_c_min,dewpoint_c_max,n_obs_day
LlanPort,4760,7/19/2006,3.166666667,-1,10,33.7375,23.9,47.9,-11.59166667,-15,-7.9,24
LlanPort,4760,7/20/2006,3.5,-1,10,31.94583333,20.7,42.7,-11.94166667,-14.4,-7.8,24
LlanPort,4760,7/21/2006,3.458333333,-1.5,11.5,31.77083333,19.6,46.5,-12.18333333,-17.4,-4.2,24
LlanPort,4760,7/22/2006,3.6875,-1,12,43.33333333,27.7,59.4,-7.925,-10.3,-2.8,24
LlanPort,4760,7/23/2006,2.770833333,-2,10,57.025,39.3,71.2,-5.0375,-10.1,0.5,24
LlanPort,4760,7/24/2006,1.916666667,-1.5,9.5,70.375,43.2,83.6,-3.058333333,-5,0.3,24
LlanPort,4760,7/25/2006,2.25,0,8.5,79.01666667,57,88.3,-1.15,-3,1.6,24
LlanPort,4760,7/26/2006,3.020833333,-1,12,71.425,43.6,89.5,-1.958333333,-3.1,0,24
LlanPort,4760,7/27/2006,2.416666667,-0.5,10,78.25416667,48.4,88.9,-1.179166667,-2.8,0.5,24
LlanPort,4760,7/28/2006,2.625,0,9,77.11666667,52.9,95,-1.154166667,-2.5,0.2,24
LlanPort,4760,7/29/2006,2.25,-0.5,8.5,79.11666667,50.5,91.5,-1.179166667,-2.8,0.3,24
LlanPort,4760,7/30/2006,2.333333333,-1,8.5,75.19166667,50.5,91.6,-1.820833333,-3.9,0.9,24
LlanPort,4760,7/31/2006,2.125,-1,7.5,79.4,57.7,92.2,-1.204166667,-3.5,1.5,24
LlanPort,4760,8/1/2006,0.833333333,-0.5,3,89.85416667,81.8,96.5,-0.641666667,-1.9,2.5,24
LlanPort,4760,8/2/2006,1.4375,-1.5,7,76.48333333,50.4,92.2,-2.445833333,-4.4,0.9,24
LlanPort,4760,8/3/2006,2.895833333,-1.5,10,60.95833333,35.4,80.6,-4.433333333,-6.5,-2,24
LlanPort,4760,8/4/2006,2.979166667,-2,11,52.73333333,34.2,74.9,-6.216666667,-12.3,-2.5,24
LlanPort,4760,8/5/2006,2.791666667,-2,11,50.24166667,32.4,74.2,-7.045833333,-14.6,-4.3,24
LlanPort,4760,8/6/2006,2.3125,-2.5,9.5,55.375,38.6,72.7,-5.983333333,-8.8,-3.1,24
LlanPort,4760,8/7/2006,2.979166667,-1.5,11,60.4375,44.5,80.6,-4.15,-7.5,-0.3,24
LlanPort,4760,8/8/2006,2.5,-1,9,66.95,43.8,87.6,-3.358333333,-5.2,-1.3,24
LlanPort,4760,8/9/2006,3.083333333,-1.5,11,62.25833333,30,83.8,-4.041666667,-6.1,-1.9,24
LlanPort,4760,8/10/2006,1.333333333,-1,7,77.30416667,55.1,92.2,-2.325,-4.9,-0.1,24
LlanPort,4760,8/11/2006,0.75,-1,4.5,86.32916667,71,99.2,-1.3,-2.4,1.8,24
LlanPort,4760,8/12/2006,0.130434783,-1,2.5,90.73478261,85.2,96.4,-1.204347826,-2.2,1.6,23
LlanPort,4760,8/13/2006,1.875,-1,10.5,75.67083333,53.6,89.5,-2.120833333,-3.9,1.7,24
LlanPort,4760,8/14/2006,2.479166667,-2,10,70.22083333,46.6,88.2,-2.7125,-4.2,0.3,24
LlanPort,4760,8/15/2006,2.479166667,-0.5,7,74.53333333,60,87,-1.691666667,-3.8,0.9,24
LlanPort,4760,8/16/2006,3,0,8.5,70.34583333,50.8,89.6,-2.104166667,-3.4,-0.7,24
LlanPort,4760,8/17/2006,2.041666667,0,8.5,81.35416667,55.1,92.2,-0.920833333,-2.8,1.7,24
LlanPort,4760,8/18/2006,1.875,-1,7,81.25833333,61,95.7,-1.0875,-3.2,0.6,24
LlanPort,4760,8/19/2006,2.083333333,-0.5,7,85.5625,64.2,94.3,-0.166666667,-1.7,2.3,24
LlanPort,4760,8/20/2006,1.875,0,6.5,85.0125,72.4,92.2,-0.4125,-2.3,2.8,24
LlanPort,4760,8/21/2006,1.583333333,-0.5,6.5,87.49583333,70.8,96.5,-0.308333333,-2.1,3.3,24
LlanPort,4760,8/22/2006,2.1875,0,8.5,83.95416667,59,98.5,-0.354166667,-2.8,2.1,24
LlanPort,4760,8/23/2006,2.104166667,-1,7,78.49166667,62.3,88.4,-1.308333333,-3.4,2,24
LlanPort,4760,8/24/2006,2.458333333,-0.5,8.5,75.44583333,56.2,87,-1.566666667,-3.4,1.4,24
LlanPort,4760,8/25/2006,2.895833333,-1,11,72.97083333,42,85.2,-1.783333333,-3.4,-0.2,24
LlanPort,4760,8/26/2006,3.4375,0,11,69.6625,36.3,87.6,-2.0375,-3.4,-0.3,24
LlanPort,4760,8/27/2006,3.833333333,-0.5,12.5,66.95833333,35.9,85.7,-2.295833333,-3.5,-0.6,24
LlanPort,4760,8/28/2006,3.104166667,-0.5,12.5,72.6375,38.9,91.5,-1.633333333,-2.9,1,24
LlanPort,4760,8/29/2006,3.270833333,0,10,72.65,49.3,88.9,-1.395833333,-3.1,1.3,24
LlanPort,4760,8/30/2006,4.25,-0.5,14,64.4,29.3,87.1,-2.545833333,-4.7,-0.9,24
LlanPort,4760,8/31/2006,3.145833333,0.5,9,77.90416667,52.9,92.3,-0.5375,-1.7,1.8,24
LlanPort,4760,9/1/2006,3.979166667,0,12.5,74.02916667,51.5,91,-0.466666667,-3.4,5.2,24
LlanPort,4760,9/2/2006,4.833333333,-1,12,66.27916667,36.3,95.7,-1.566666667,-5.5,1,24
LlanPort,4760,9/3/2006,2.25,-0.5,7.5,72.05833333,53.2,82.5,-2.366666667,-4.3,-1,24
LlanPort,4760,9/4/2006,4.020833333,-0.5,13.5,66.08333333,30.5,93.6,-2.6125,-4.7,-0.1,24
LlanPort,4760,9/5/2006,2.895833333,-1,9,76.79166667,55.9,88.3,-0.9,-4,2.7,24
LlanPort,4760,9/6/2006,3.729166667,-3,12,51.15833333,32,76.3,-5.954166667,-12,-0.5,24
LlanPort,4760,9/7/2006,3.625,-2,15,65.75416667,31.4,84.2,-2.920833333,-4.3,-1.4,24
LlanPort,4760,9/8/2006,3.583333333,-1,14,71.20833333,35.6,92.3,-1.7375,-3.2,1.2,24
LlanPort,4760,9/9/2006,2.75,-0.5,8.5,66.00833333,45.8,89.6,-3.258333333,-6.7,-0.7,24
LlanPort,4760,9/10/2006,3.083333333,-2.5,12,54.95,33.2,76.8,-5.516666667,-9.1,-2.1,24
LlanPort,4760,9/11/2006,2.5,-1,9,74.31666667,56.8,86.4,-1.725,-5.1,2.3,24
LlanPort,4760,9/12/2006,3.895833333,-2,14,58.88333333,33.1,83,-3.9875,-9.1,0.6,24
LlanPort,4760,9/13/2006,3.666666667,-1,12,67.09166667,38.9,84.3,-2.358333333,-4.7,0,24
LlanPort,4760,9/14/2006,3.25,-0.5,9.5,73.1125,48.6,91.6,-1.445833333,-2.5,-0.4,24
LlanPort,4760,9/15/2006,1.75,0,6.5,86.84166667,70.9,94.3,-0.241666667,-1.7,1.7,24
LlanPort,4760,9/16/2006,3.020833333,-1,11,75.34583333,50.8,93.6,-1.241666667,-5,1.2,24
LlanPort,4760,9/17/2006,2.354166667,0,9,85.3625,57.6,99.2,9.25E-18,-1.6,2.5,24
LlanPort,4760,9/18/2006,0.395833333,-1,4.5,92.70416667,84.5,98.5,-0.654166667,-2.3,2.3,24
LlanPort,4760,9/19/2006,3.020833333,-1,8.5,70.58333333,54.3,90.9,-1.966666667,-5.7,2.4,24
LlanPort,4760,9/20/2006,4.375,-0.5,12.5,67.73333333,41.9,91,-1.554166667,-3.6,0.2,24
