date,tmean_c_llang,tmin_c_llang,tmax_c_llang,p_mm_llang,rh_mean_pct_llang,wind_speed_mean_ms_llang,sw_in_mean_wm2_llang,tmean_c_quil,tmin_c_quil,tmax_c_quil,p_mm_quil,rh_mean_pct_quil,wind_speed_mean_ms_quil,sw_in_mean_wm2_quil,elev_a_m,elev_b_m,delta_t_c,lapse_rate_c_per_100m
2013-07-04,,,,0.0,,,,,,,0.8,,0.5954545454545455,3.0,3850.0,3600.0,,
2013-07-05,,,,0.0,,,,,,,0.0,,2.0454166666666667,79.58333333333333,3850.0,3600.0,,
2013-07-06,,,,0.0,,,,,,,0.0,,3.074583333333333,135.77083333333334,3850.0,3600.0,,
2013-07-07,,,,0.0,,,,,,,0.0,,3.2429166666666664,106.27083333333331,3850.0,3600.0,,
2013-07-08,,,,0.0,,,,,,,0.0,,2.2029166666666664,102.45833333333331,3850.0,3600.0,,
2013-07-09,,,,0.0,,,,,,,0.0,,2.035,228.35416666666663,3850.0,3600.0,,
2013-07-10,,,,0.0,,,,,,,0.0,,1.6258333333333337,214.35416666666663,3850.0,3600.0,,
2013-07-11,,,,0.0,,,,,,,0.0,,1.4795833333333333,226.29166666666663,3850.0,3600.0,,
2013-07-12,,,,0.0,,,,,,,0.0,,1.91,227.0625,3850.0,3600.0,,
2013-07-13,,,,0.0,,,,,,,0.0,,1.4904166666666665,218.6875,3850.0,3600.0,,
2013-07-14,,,,0.0,,,,,,,0.0,,1.5433333333333332,201.89583333333331,3850.0,3600.0,,
2013-07-15,,,,0.0,,,,,,,0.0,,2.1300000000000003,170.64583333333334,3850.0,3600.0,,
2013-07-16,,,,0.0,,,,,,,0.0,,4.06,222.0,3850.0,3600.0,,
2013-07-17,,,,0.0,,,,,,,0.0,,2.57125,171.375,3850.0,3600.0,,
2013-07-18,,,,0.0,,,,,,,0.0,,1.1125,92.02083333333331,3850.0,3600.0,,
2013-07-19,,,,0.0,,,,,,,0.0,,0.95375,142.625,3850.0,3600.0,,
2013-07-20,,,,0.0,,,,,,,0.0,,1.090833333333333,138.35416666666666,3850.0,3600.0,,
2013-07-21,,,,0.0,,,,,,,0.0,,1.2795833333333333,177.72916666666666,3850.0,3600.0,,
2013-07-22,,,,0.0,,,,,,,0.0,,1.0916666666666666,208.25,3850.0,3600.0,,
2013-07-23,,,,0.0,,,,,,,0.0,,1.930416666666667,224.25,3850.0,3600.0,,
2013-07-24,,,,0.0,,,,,,,0.0,,1.5725,236.47916666666663,3850.0,3600.0,,
2013-07-25,,,,0.0,,,,,,,0.0,,3.77625,219.91666666666663,3850.0,3600.0,,
2013-07-26,,,,0.0,,,,,,,0.0,,3.1475000000000004,234.95833333333331,3850.0,3600.0,,
2013-07-27,,,,0.0,,,,,,,0.0,,1.3525,144.4375,3850.0,3600.0,,
2013-07-28,,,,0.0,,,,,,,0.0,,3.2320833333333336,209.77083333333331,3850.0,3600.0,,
2013-07-29,,,,0.0,,,,,,,0.0,,3.841666666666667,238.47916666666663,3850.0,3600.0,,
2013-07-30,,,,0.0,,,,,,,0.0,,1.8041666666666665,238.22916666666663,3850.0,3600.0,,
2013-07-31,,,,0.0,,,,,,,0.0,,1.4370833333333335,232.64583333333331,3850.0,3600.0,,
2013-08-01,,,,0.0,,,,,,,0.0,,1.2591666666666668,179.27083333333334,3850.0,3600.0,,
2013-08-02,,,,0.0,,,,,,,0.0,,1.16375,147.1875,3850.0,3600.0,,
2013-08-03,,,,0.0,,,,,,,0.0,,1.6683333333333332,199.08333333333331,3850.0,3600.0,,
2013-08-04,,,,0.0,,,,,,,0.0,,2.192083333333333,229.625,3850.0,3600.0,,
2013-08-05,,,,0.0,,,,,,,0.0,,1.9933333333333332,245.375,3850.0,3600.0,,
2013-08-06,,,,0.0,,,,,,,0.0,,2.3816666666666664,224.54166666666663,3850.0,3600.0,,
2013-08-07,,,,0.0,,,,,,,0.0,,1.47875,217.9375,3850.0,3600.0,,
2013-08-08,,,,0.0,,,,,,,0.4,,1.03875,169.35416666666666,3850.0,3600.0,,
2013-08-09,,,,0.0,,,,,,,0.0,,1.3429166666666663,149.25,3850.0,3600.0,,
2013-08-10,,,,0.0,,,,,,,2.4,,1.0483333333333331,123.3125,3850.0,3600.0,,
2013-08-11,,,,0.0,,,,,,,0.8,,0.85,155.58333333333334,3850.0,3600.0,,
2013-08-12,,,,0.0,,,,,,,0.0,,1.19625,203.89583333333331,3850.0,3600.0,,
2013-08-13,,,,0.0,,,,,,,0.0,,1.6475,256.0833333333333,3850.0,3600.0,,
2013-08-14,,,,0.0,,,,,,,0.0,,1.7625,246.41666666666663,3850.0,3600.0,,
2013-08-15,,,,0.0,,,,,,,1.2,,1.5,144.14583333333334,3850.0,3600.0,,
2013-08-16,,,,0.0,,,,,,,0.0,,1.1441666666666668,249.47916666666663,3850.0,3600.0,,
2013-08-17,,,,0.0,,,,,,,0.0,,2.1391666666666667,257.0625,3850.0,3600.0,,
2013-08-18,,,,0.0,,,,,,,0.0,,1.4483333333333333,260.8958333333333,3850.0,3600.0,,
2013-08-19,,,,0.0,,,,,,,0.0,,1.35375,257.625,3850.0,3600.0,,
2013-08-20,,,,0.0,,,,,,,0.0,,1.3949999999999998,275.625,3850.0,3600.0,,
2013-08-21,,,,0.0,,,,,,,0.0,,1.3945833333333333,268.75,3850.0,3600.0,,
2013-08-22,,,,0.0,,,,,,,0.0,,1.1229166666666666,177.95833333333334,3850.0,3600.0,,
2013-08-23,,,,0.0,,,,,,,0.2,,1.1429166666666666,142.39583333333334,3850.0,3600.0,,
2013-08-24,,,,0.0,,,,,,,0.0,,1.6791666666666665,235.70833333333331,3850.0,3600.0,,
2013-08-25,,,,0.0,,,,,,,2.2,,1.3745833333333335,170.35416666666666,3850.0,3600.0,,
2013-08-26,,,,0.0,,,,,,,10.0,,0.39875,81.60416666666667,3850.0,3600.0,,
2013-08-27,,,,0.0,,,,,,,1.0,,0.98625,198.8125,3850.0,3600.0,,
2013-08-28,,,,0.0,,,,,,,0.0,,2.2125,263.4375,3850.0,3600.0,,
2013-08-29,,,,0.0,,,,,,,0.0,,2.5504166666666666,253.25,3850.0,3600.0,,
2013-08-30,,,,0.0,,,,,,,0.0,,2.12875,266.4791666666667,3850.0,3600.0,,
2013-08-31,,,,0.0,,,,,,,0.0,,1.2379166666666668,247.14583333333331,3850.0,3600.0,,
2013-09-01,,,,0.0,,,,,,,1.0,,1.4279166666666667,245.375,3850.0,3600.0,,
2013-09-02,,,,0.0,,,,,,,0.0,,1.20625,245.64583333333331,3850.0,3600.0,,
2013-09-03,,,,0.0,,,,,,,0.0,,2.097916666666667,272.6041666666667,3850.0,3600.0,,
2013-09-04,,,,0.0,,,,,,,0.0,,2.5708333333333333,267.0,3850.0,3600.0,,
2013-09-05,,,,0.0,,,,,,,0.0,,2.1404166666666664,243.83333333333331,3850.0,3600.0,,
2013-09-06,,,,0.0,,,,,,,0.0,,2.182916666666667,263.6666666666667,3850.0,3600.0,,
2013-09-07,,,,0.0,,,,,,,0.0,,2.3608333333333333,262.9375,3850.0,3600.0,,
2013-09-08,,,,0.0,,,,,,,0.0,,4.554583333333333,248.70833333333331,3850.0,3600.0,,
2013-09-09,,,,0.0,,,,,,,0.0,,3.526666666666667,230.60416666666663,3850.0,3600.0,,
2013-09-10,,,,0.0,,,,,,,0.0,,2.53875,276.1458333333333,3850.0,3600.0,,
2013-09-11,,,,0.0,,,,,,,0.8,,1.62625,238.27083333333331,3850.0,3600.0,,
2013-09-12,,,,0.0,,,,,,,0.7999999999999999,,1.2375,215.10416666666663,3850.0,3600.0,,
2013-09-13,,,,0.0,,,,,,,0.0,,1.5004166666666665,266.5,3850.0,3600.0,,
2013-09-14,,,,0.0,,,,,,,0.0,,1.7933333333333332,269.3125,3850.0,3600.0,,
2013-09-15,,,,0.0,,,,,,,1.2,,1.4795833333333333,248.89583333333331,3850.0,3600.0,,
2013-09-16,,,,0.0,,,,,,,4.2,,1.32125,192.72916666666663,3850.0,3600.0,,
2013-09-17,,,,0.0,,,,,,,0.0,,0.9966666666666666,166.04166666666666,3850.0,3600.0,,
2013-09-18,,,,0.0,,,,,,,2.2,,1.1225,246.375,3850.0,3600.0,,
2013-09-19,,,,0.0,,,,,,,3.6,,1.3429166666666668,175.4375,3850.0,3600.0,,
2013-09-20,,,,0.0,,,,,,,0.0,,1.6466666666666667,231.89583333333331,3850.0,3600.0,,
2013-09-21,,,,0.0,,,,,,,0.2,,1.0916666666666666,232.16666666666663,3850.0,3600.0,,
2013-09-22,,,,0.0,,,,,,,0.0,,1.4583333333333333,294.9583333333333,3850.0,3600.0,,
2013-09-23,,,,0.0,,,,,,,0.0,,2.59125,236.5,3850.0,3600.0,,
2013-09-24,,,,0.0,,,,,,,0.0,,1.4475,163.27083333333334,3850.0,3600.0,,
2013-09-25,,,,0.0,,,,,,,0.0,,1.8575,253.02083333333331,3850.0,3600.0,,
2013-09-26,,,,0.0,,,,,,,0.0,,1.1849999999999998,221.75,3850.0,3600.0,,
2013-09-27,,,,0.0,,,,,,,0.4,,0.9545833333333332,205.72916666666663,3850.0,3600.0,,
2013-09-28,,,,0.0,,,,,,,0.0,,1.1441666666666668,280.25,3850.0,3600.0,,
2013-09-29,,,,0.0,,,,,,,0.0,,1.2795833333333333,294.2291666666667,3850.0,3600.0,,
2013-09-30,,,,0.0,,,,,,,0.0,,1.2066666666666668,200.125,3850.0,3600.0,,
2013-10-01,,,,0.0,,,,,,,0.0,,1.174583333333333,123.3125,3850.0,3600.0,,
2013-10-02,,,,0.0,,,,,,,0.4,,1.2383333333333333,179.0,3850.0,3600.0,,
2013-10-03,,,,0.0,,,,,,,0.2,,1.03875,211.04166666666663,3850.0,3600.0,,
2013-10-04,,,,0.0,,,,,,,0.0,,1.35375,219.70833333333331,3850.0,3600.0,,
2013-10-05,,,,0.0,,,,,,,0.4,,1.2804166666666668,180.8125,3850.0,3600.0,,
2013-10-06,,,,0.0,,,,,,,5.4,,0.9866666666666668,172.39583333333334,3850.0,3600.0,,
2013-10-07,,,,0.0,,,,,,,2.0,,1.20625,271.8125,3850.0,3600.0,,
2013-10-08,,,,0.0,,,,,,,0.0,,1.0491666666666666,206.97916666666663,3850.0,3600.0,,
2013-10-09,,,,0.0,,,,,,,0.0,,0.97625,179.27083333333334,3850.0,3600.0,,
2013-10-10,,,,0.0,,,,,,,0.2,,1.0704166666666668,206.75,3850.0,3600.0,,
2013-10-11,,,,0.0,,,,,,,14.4,,0.7875,230.89583333333331,3850.0,3600.0,,
2013-10-12,,,,0.0,,,,,,,1.2,,1.1016666666666666,224.02083333333331,3850.0,3600.0,,
2013-10-13,,,,0.0,,,,,,,6.2,,0.8075,170.08333333333334,3850.0,3600.0,,
2013-10-14,,,,0.0,,,,,,,1.8,,0.7766666666666667,123.04166666666669,3850.0,3600.0,,
2013-10-15,,,,0.0,,,,,,,18.2,,0.6820833333333334,110.58333333333331,3850.0,3600.0,,
2013-10-16,,,,0.0,,,,,,,2.6,,1.3125,239.04166666666663,3850.0,3600.0,,
2013-10-17,,,,0.0,,,,,,,6.6,,1.049583333333333,191.25,3850.0,3600.0,,
2013-10-18,,,,0.0,,,,,,,0.2,,0.8183333333333334,244.33333333333331,3850.0,3600.0,,
2013-10-19,,,,0.0,,,,,,,0.0,,1.2070833333333333,164.5,3850.0,3600.0,,
2013-10-20,,,,0.0,,,,,,,6.4,,0.67125,94.83333333333331,3850.0,3600.0,,
2013-10-21,,,,0.0,,,,,,,0.2,,1.2804166666666668,291.6458333333333,3850.0,3600.0,,
2013-10-22,,,,0.0,,,,,,,6.0,,1.028333333333333,266.2291666666667,3850.0,3600.0,,
2013-10-23,,,,0.0,,,,,,,0.8,,1.39625,156.375,3850.0,3600.0,,
2013-10-24,,,,0.0,,,,,,,6.4,,0.8920833333333333,177.95833333333334,3850.0,3600.0,,
2013-10-25,,,,0.0,,,,,,,5.2,,0.8704166666666667,176.72916666666666,3850.0,3600.0,,
2013-10-26,,,,0.0,,,,,,,4.6,,1.1741666666666666,205.9375,3850.0,3600.0,,
2013-10-27,,,,0.0,,,,,,,4.0,,0.9758333333333334,199.08333333333331,3850.0,3600.0,,
2013-10-28,,,,0.0,,,,,,,12.6,,0.3670833333333334,132.47916666666666,3850.0,3600.0,,
2013-10-29,,,,0.0,,,,,,,10.0,,0.76625,122.54166666666669,3850.0,3600.0,,
2013-10-30,,,,0.0,,,,,,,1.0,,0.8391666666666667,146.4375,3850.0,3600.0,,
2013-10-31,,,,0.0,,,,,,,0.0,,1.4904166666666667,212.54166666666663,3850.0,3600.0,,
2013-11-01,,,,0.0,,,,,,,0.0,,1.92125,275.3958333333333,3850.0,3600.0,,
2013-11-02,,,,0.0,,,,,,,11.4,,1.3954166666666667,119.75,3850.0,3600.0,,
2013-11-03,,,,0.0,,,,,,,6.8,,1.007083333333333,159.41666666666666,3850.0,3600.0,,
2013-11-04,,,,0.0,,,,,,,10.2,,0.9029166666666668,123.8125,3850.0,3600.0,,
2013-11-05,,,,0.0,,,,,,,0.4,,0.7866666666666666,118.45833333333331,3850.0,3600.0,,
2013-11-06,,,,0.0,,,,,,,8.0,,1.1329166666666668,173.14583333333334,3850.0,3600.0,,
