hydro_year,pdd_degC_sum,n_freezing_days,n_days_p>=20.0mm
2004,621.875,0,0
2005,1538.160032051282,0,31
2006,1404.5673569340017,0,7
2007,602.3541666666666,0,0
2008,2643.1666666666665,0,2
2009,2123.280357142857,0,2
2010,2196.031388888889,0,5
2011,204.75509022921523,0,0
2012,0.0,0,0
2013,0.0,0,0
2014,750.8397435897435,0,0
2015,618.2894047619047,0,0
2016,3154.8708333333334,0,0
2017,2381.8725,0,0
2018,2792.295833333333,0,9
2019,1814.7602272727272,0,11
2020,0.0,0,0
2021,0.0,0,0
2022,1104.9450833333333,0,0
2023,2995.9886805555557,0,0
2024,3278.3777083333334,0,1
2025,2988.994458333333,0,4
2026,561.6761931818182,0,0
