year,month,tmean_c,tmin_c,tmax_c,p_mm,rh_mean_pct
2013,7,,,,0.8,
2013,8,,,,18.2,
2013,9,,,,14.4,
2013,10,,,,117.0,
2013,11,,,,73.4,
2013,12,,,,156.6,
2014,1,,,,90.2,
2014,2,,,,174.8,
2014,3,,,,145.6,
2014,4,,,,51.0,
2014,5,,,,49.4,
2014,6,,,,10.4,
2014,7,,,,5.6000000000000005,
2014,8,,,,2.6000000000000005,
2014,9,,,,52.6,
2014,10,,,,60.4,
2014,11,,,,66.4,
2014,12,,,,158.20000000000002,
2015,1,,,,141.2,
2015,2,,,,63.6,
2015,3,,,,116.0,
2015,4,,,,60.2,
2015,5,,,,64.0,
2015,6,,,,7.0,
2015,7,,,,7.3999999999999995,
2015,8,,,,2.8,
2015,9,,,,20.200000000000003,
2015,10,,,,95.4,
2015,11,,,,70.8,
2015,12,,,,96.6,
2016,1,,,,60.0,
2016,2,,,,103.2,
2016,3,,,,100.2,
2016,4,,,,63.4,
2016,5,,,,3.2,
2016,6,,,,5.8,
2016,7,,,,0.0,
2016,8,7.896267721861472,1.0021785714285714,16.936642857142857,6.4,59.50166396103896
2016,9,7.851556944444444,1.0192,16.702,43.2,63.28277777777778
2016,10,7.755594086021506,2.197548387096774,16.07332258064516,64.8,73.78104838709677
2016,11,7.6755708333333335,0.39130000000000004,17.325466666666667,8.0,56.212222222222216
2016,12,7.546485215053764,3.5676774193548386,14.325967741935484,125.0,84.10604838709678
2017,1,7.433866935483871,3.88958064516129,13.179709677419355,139.6,85.35
2017,2,6.979416666666666,3.236,13.127964285714285,137.0,89.41324404761905
2017,3,7.412541666666667,3.786,13.410451612903225,219.6,88.99395161290323
2017,4,8.076191666666666,3.8035666666666668,14.583233333333334,89.4,83.83472222222221
2017,5,7.88408064516129,3.215096774193549,14.32641935483871,58.8,81.94610215053764
2017,6,7.1761,0.956,15.177133333333334,4.4,69.79722222222222
2017,7,7.415215053763441,0.25029032258064515,15.455806451612903,0.4,54.6002688172043
2017,8,7.167889784946237,0.07538709677419357,16.023258064516128,2.6,59.64637096774193
2017,9,8.494433333333333,2.3981333333333335,15.940866666666667,20.6,67.56208333333333
2017,10,8.229954301075269,2.5546129032258063,16.452774193548386,39.8,73.46209677419354
2017,11,7.526997222222222,2.4401,15.125266666666667,31.8,75.21000000000001
2017,12,7.100987903225807,3.1973870967741935,13.58716129032258,117.6,86.40094086021506
2018,1,6.999290322580645,2.5231935483870966,13.906032258064515,142.6,81.56088709677418
2018,2,7.692796130952381,3.5709285714285715,14.357535714285715,94.0,83.68943452380952
